"Section/Rule","Context/Area","Question","Responsible Party/Subject","T-Level"
"Table 7.8 Rule 6","Curtailment of Overseas Tours","Will AFPC/CC approve curtailment for best interests of AF (dorm/housing renovation) (less than 60 days)?","AFPC/CC","T-0"
"Table 7.8 Rule 7","Curtailment of Overseas Tours","Will authority in Table 7.7 approve curtailment of DEROS extended/approved under Table 7.7?","Authority in Table 7.7","T-0"
"Table 7.8 Rule 8","Curtailment of Overseas Tours","Will Installation commander/ABG/CC approve curtailment due to pregnancy (less than 60 days)?","Installation commander/ABG/CC","T-0"
"Table 7.8 Rule 9","Curtailment of Overseas Tours","Will assignment OPR approve curtailment due to pregnancy (more than 60 days)?","Assignment OPR","T-0"
"Table 7.8 Rule 10","Curtailment of Overseas Tours","Will assignment OPR approve curtailment upon medical evacuation of dependents (more than 60 days)?","Assignment OPR","T-0"
"Table 7.8 Rule 11","Curtailment of Overseas Tours","Will AFPC/CC approve curtailment upon medical evacuation of dependents (less than 60 days)?","AFPC/CC","T-0"
"Table 7.8 Rule 12","Curtailment of Overseas Tours","Will assignment OPR approve curtailment for unmarried pregnant member placing child for adoption (more than 60 days)?","Assignment OPR","T-0"
"Table 7.8 Rule 13","Curtailment of Overseas Tours","Will AFPC/CC approve curtailment for unmarried pregnant member placing child for adoption (less than 60 days)?","AFPC/CC","T-0"
"Table 7.8 Rule 14","Curtailment of Overseas Tours","Will Unit commander approve curtailment upon return from emergency leave (less than 60 days)?","Unit commander","T-0"
"Table 7.8 Rule 15","Curtailment of Overseas Tours","Will AFPC/CC approve curtailment upon return from emergency leave (more than 60 days)?","AFPC/CC","T-0"
"Table 7.8 Rule 16","Curtailment of Overseas Tours","Will assignment OPR approve curtailment to accompany military spouse with earlier DEROS (more than 60 days)?","Assignment OPR","T-0"
"Table 7.8 Rule 17","Curtailment of Overseas Tours","Will AFPC/CC approve curtailment to accompany military spouse with earlier DEROS (less than 60 days)?","AFPC/CC","T-0"
"Table 7.8 Rule 18","Curtailment of Overseas Tours","Will assignment OPR approve curtailment for humanitarian/EFMP reasons (more than 60 days)?","Assignment OPR","T-0"
"Table 7.8 Rule 19","Curtailment of Overseas Tours","Will AFPC/CC approve curtailment for humanitarian/EFMP reasons (less than 60 days)?","AFPC/CC","T-0"
"Table 7.8 Rule 20","Curtailment of Overseas Tours","Will AFPC/DP3AM approve curtailment for members sentenced to DD/BCD or directed to take involuntary excess leave?","AFPC/DP3AM","T-0"
"Table 7.8 Rule 21","Curtailment of Overseas Tours","Will assignment OPR approve curtailment for members surplus due to unit/base/authorization changes?","Assignment OPR","T-0"
"Table 7.8 Rule 22","Curtailment of Overseas Tours","Will AFPC/CC or AF/JA approve curtailment for members/dependents involved in unfavorable incidents?","AFPC/CC or AF/JA","T-0"
"Table 7.8 Rule 23","Curtailment of Overseas Tours","Will assignment OPR approve curtailment to accompany spouse reassigned for humanitarian/EFMP (more than 60 days)?","Assignment OPR","T-0"
"Table 7.8 Rule 24","Curtailment of Overseas Tours","Will AFPC/CC approve curtailment to accompany spouse reassigned for humanitarian/EFMP (less than 60 days)?","AFPC/CC","T-0"
"Table 7.8 Rule 25","Curtailment of Overseas Tours","Will assignment OPR approve curtailment request to cancel approved voluntary overseas tour extension?","Assignment OPR","T-0"
"Table 7.8 Rule 26","Curtailment of Overseas Tours","Will AFPC/DP3AM approve curtailment for Threatened Person Assignment?","AFPC/DP3AM","T-0"
"Table 7.9 Rule 1","Involuntary Extension of Overseas Tour","Will MPF extend DEROS to date of separation for insufficient retainability?","MPF","T-0"
"Table 7.9 Rule 2","Involuntary Extension of Overseas Tour","Will Special Court-Martial Convening Authority approve extension for cause (up to 120 days)?","Special Court-Martial Convening Authority","T-0"
"Table 7.9 Rule 3","Involuntary Extension of Overseas Tour","Will AFPC/DP3AM or USSF/ETMO approve extension for cause beyond 120 days?","AFPC/DP3AM or USSF/ETMO","T-0"
"Table 7.9 Rule 4","Involuntary Extension of Overseas Tour","Will AFPC/CC approve extension for operational needs/training/base closure (up to 180 days)?","AFPC/CC","T-0"
"Table 7.10 Rule 1","Overseas Tour Proration","Will new DEROS be calculated based on time served and new tour length?","New DEROS","T-0"
"Table 7.10 Note 1","Overseas Tour Proration","Will member request proration?","Member","T-0"
"Table 7.11 Note 2","Assignment Priority Groups","Will senior members be selected last among non-volunteers and first among volunteers?","Senior members","T-0"
"8.5.3.","Selection Procedures (365-Day Extended Deployments)","Will AFPC/DPM or ETMO screen members for eligibility?","AFPC/DPM or ETMO","T-0"
"8.8.2.2.1.1.","Declinations (365-Day Extended Deployments)","Will members with approved reclama for SMI receive AAC 39?","Members","T-0"
"8.9.1.","Extended Deployment Incentives","Will members volunteering for ED AA/AD have priority consideration?","Members","T-0"
"8.9.2.","Extended Deployment Incentives","Will members with approved AA be assigned PCS after deployment?","Members","T-0"
"8.9.3.","Extended Deployment Incentives","Will members with approved AD be deferred from PCS for 24 months?","Members","T-0"
"8.9.4.","Extended Deployment Incentives","Will members be considered for assignment based on preferences?","Members","T-0"
"8.15.","Change to Ordered Start or End Dates (Extensions)","Will extensions require SecDef approval?","Extensions","T-0"
"8.16.","Functional Elements","Will FAMs monitor extended deployment manning levels?","FAMs","T-0"
"Table 8.1 Rule 1","De-Conflicting 365-day Extended Deployment and Deployments","Will 365-day tasking take precedence if received first?","365-day tasking","T-0"
"Table 8.1 Rule 2","De-Conflicting 365-day Extended Deployment and Deployments","Will Air Force/Space Force deployment take precedence if within 60 days?","Air Force/Space Force deployment","T-0"
"Table 8.1 Rule 3","De-Conflicting 365-day Extended Deployment and Deployments","Will commander select another member if possible (>60 days)?","Commander","T-0"
"Table 8.2 Rule 1","365-day Extended Deployment Declination/3-Day Option","Will member with 19+ yrs TAFMS, required retainability, and no/short ADSC request retirement?","Member","T-0"
"Table 8.2 Rule 2","365-day Extended Deployment Declination/3-Day Option","Will member with 19+ yrs TAFMS, insufficient retainability, and no/short ADSC request retirement or decline retainability?","Member","T-0"
"Table 8.2 Rule 3","365-day Extended Deployment Declination/3-Day Option","Will officer <19 yrs TAFMS, required retainability, and no/short ADSC request retirement?","Officer","T-0"
"Table 8.2 Rule 4","365-day Extended Deployment Declination/3-Day Option","Will officer <19 yrs TAFMS, required retainability, and no/short ADSC request separation?","Officer","T-0"
"Table 8.2 Rule 6","365-day Extended Deployment Declination/3-Day Option","Will enlisted member with 19+ yrs TAFMS, required retainability, and no/short ADSC request retirement?","Enlisted member","T-0"
"Table 8.2 Rule 7","365-day Extended Deployment Declination/3-Day Option","Will enlisted member with 19+ yrs TAFMS, insufficient retainability, and no/short ADSC request retirement or decline retainability?","Enlisted member","T-0"
"Table 8.2 Rule 11","365-day Extended Deployment Declination/3-Day Option","Will enlisted member <19 yrs TAFMS, insufficient retainability decline retainability?","Enlisted member","T-0"
"Table 8.2 Rule 16","365-day Extended Deployment Declination/3-Day Option","Will enlisted member with indefinite DOS, <19 yrs TAFMS, no/short ADSC request separation?","Enlisted member","T-0"
"Table 8.2 Rule 17","365-day Extended Deployment Declination/3-Day Option","Will enlisted member with indefinite DOS, <19 yrs TAFMS, no/short ADSC extending beyond 20 yrs TAFMS request retirement?","Enlisted member","T-0"
"Table 8.2 Rule 18","365-day Extended Deployment Declination/3-Day Option","Will enlisted member with indefinite DOS, <19 yrs TAFMS, no/short ADSC not extending beyond 20 yrs TAFMS request retirement?","Enlisted member","T-0"
"Table 8.2 Rule 19","365-day Extended Deployment Declination/3-Day Option","Will enlisted member with indefinite DOS, 19+ yrs TAFMS, no/short ADSC request retirement?","Enlisted member","T-0"
"9.7.1.","Undergrades, Overgrades and Overages","Will commanders and directors make every effort to fill vacant positions?","Commanders and directors","T-0"
"9.7.1.","Undergrades, Overgrades and Overages","Will commanders (unit program) or RIO Det/CCs (IR portfolio) initiate personnel actions to eliminate overgrade/overage?","Commanders or RIO Det/CCs","T-0"
"9.7.2.1.","Undergrade/Overgrade Approvals (Colonels)","Will the NAF/RSG/wing/detached group commander send waivers through channels?","NAF/RSG/wing/detached group commander","T-0"
"9.7.2.2.","Undergrade/Overgrade Approvals (Colonels)","Will HQ RIO send IR colonel waivers to AF/REG?","HQ RIO","T-0"
"9.7.3.1.","Undergrade/Overgrade Approvals (Lt Cols & below)","Will the appropriate commander approve waivers only if in best interest of AFR?","Appropriate commander","T-0"
"9.7.3.1.","Undergrade/Overgrade Approvals (Lt Cols & below)","Will unit commanders submit overgrade waiver requests to wing/RSG commander?","Unit commanders","T-0"
"9.7.3.2.","Undergrade/Overgrade Approvals (Lt Cols & below)","Will RIO Det/CCs process overgrade waivers as per Table 9.3 for the IR portfolio?","RIO Det/CCs","T-0"
"9.7.3.4.","Undergrade/Overgrade Approvals (Lt Cols & below)","Will waiver requests for CMSgts assigned to SMSgt positions be submitted and coordinated through the MFM and AF/REG Chiefs’ Group to AFRC/CCC?","Waiver requests","T-0"
"9.7.3.4.","Undergrade/Overgrade Approvals (Lt Cols & below)","Will waiver authorizations not exceed two years?","Waiver authorizations","T-0"
"9.7.4.1.7.","Overgrade Waiver Requests","Will the desired expiration date be included?","Desired expiration date","T-0"
"9.7.4.3.","Overgrade Waiver Requests","Will the Force Management Element, ARPC/DPA, and RIO Detachment Force Management continue assignment processing on approved waivers?","Force Management Element, ARPC/DPA, RIO Detachment Force Management","T-0"
"9.7.4.3.","Overgrade Waiver Requests","Will overage code “M” be updated for unit requests pending approval?","Overage code “M”","T-0"
"9.7.6.1.","Overage Approvals","Will the appropriate commander (listed in Table 9.4) approve overage waivers?","Appropriate commander","T-0"
"9.7.6.2.","Overage Approvals","Will the Career Development Element or RIO Det/CC notify the member in writing of the overage status?","Career Development Element or RIO Det/CC","T-0"
"9.7.6.3.","Overage Approvals","Will the Statement of Understanding be filed in the member’s electronic record or local files?","Statement of Understanding","T-0"
"9.7.7.1.","Overage Waiver Requests","Will the overage waiver request contain the member’s grade, name, and SSN (last 4)?","Overage waiver request","T-0"
"9.7.7.8.","Overage Waiver Requests","Will the request contain justification to warrant the overage waiver?","Request","T-0"
"9.7.7.9.","Overage Waiver Requests","Will the approval document contain the statement: “This overage is approved...”?","Approval document","T-0"
"9.7.8.2.","Overage Conditions","Will the Career Development Element, ARPC/DPA or RIO Det/CC monitor overages and initiate appropriate action?","Career Development Element, ARPC/DPA or RIO Det/CC","T-0"
"9.7.8.2.","Overage Conditions","Will members assigned as overages for reasons other than reduction in force be advised of their overage status?","Members assigned as overages","T-0"
"9.7.8.2.","Overage Conditions","Will overage status be withdrawn at any time by the commander or IMA program manager?","Overage status","T-0"
"9.7.8.2.","Overage Conditions","Will the member be assigned to ARPC within 180 days or by expiration date, whichever is first?","Member","T-0"
"9.7.8.2.","Overage Conditions","Will the member make every effort to locate a vacant position?","Member","T-0"
"9.7.8.2.","Overage Conditions","Will TSgts not fill SSgt or below positions unless accepting voluntary demotion?","TSgts","T-0"
"9.7.8.2.","Overage Conditions","Will Captains selected for promotion vacate the overage position within 180 days?","Captains","T-0"
"9.8.1.","AFSC Criteria","Will position requirements be filled with members holding the required skill level?","Position requirements","T-0"
"9.8.2.","Retraining","Will commanders initiate retraining applications for members assigned in excess or as overgrades?","Commanders","T-0"
"9.8.2.1.","Retraining","Will Force Management coordinate applications for retraining with the local commander?","Force Management","T-0"
"9.8.2.1.","Retraining","Will retraining applications be approved before DAF 1288 is processed?","Retraining applications","T-0"
"9.8.3.","AFSC Conversion","Will members occupying positions converting to a different AFSC be retrained or reassigned?","Members","T-0"
"9.8.4.","AFSC Award","Will AFSCs be awarded according to the AFECD?","AFSCs","T-0"
"9.9.","Changes in a Member's Medical Profile","Will AFRC/SG identify members who are medically disqualified for worldwide duty or retention?","AFRC/SG","T-0"
"9.9.1.","Medical Review","Will commanders ensure members with medical conditions affecting retention or worldwide qualification are referred to the servicing medical activity?","Commanders","T-0"
"9.9.2.","Temporary Disqualification","Will commanders take action when a member is temporarily disqualified?","Commanders","T-0"
"9.9.2.1.","Medical Hold","Will the MPF place the member in AAC 31?","MPF","T-0"
"9.9.2.2.","Participation Status","Will the commander determine if the member can satisfactorily participate?","Commander","T-0"
"9.9.2.2.","Participation Status","Will the member be reassigned to IRR or Standby Reserve if unable to participate?","Member","T-0"
"9.9.3.","Permanent Disqualification","Will commanders take action when member is permanently disqualified?","Commanders","T-0"
"9.9.3.1.","AFRC/SG Review","Will AFRC/SG determine fitness for continued service or qualification for retraining?","AFRC/SG","T-0"
"9.9.3.2.","IR Portfolio","Will RIO Det/CCs reassign disqualified members to HQ ARPC?","RIO Det/CCs","T-0"
"9.9.3.3.","Unit Program","Will disqualified members be counseled on separation/retirement options?","Disqualified members","T-0"
"9.9.3.3.","Unit Program","Will the Force Management Element update personnel actions?","Force Management Element","T-0"
"9.10.1.1.","Rated Assignments","Will officers assigned to non-flying positions retain their aeronautical rating?","Officers","T-0"
"9.10.1.2.","Rated Assignments","Will rated officers be used to fill non-rated positions only when fully qualified?","Rated officers","T-0"
"9.10.1.2.","Rated Assignments","Will assignment waivers be submitted to AFRC/A1KK?","Assignment waivers","T-0"
"9.10.1.2.","Rated Assignments","Will the pilot have over 1,000 total military flying hours?","Pilot","T-0"
"9.10.1.3.","Rated Assignments","Will waivers for officers in other rated AFSCs be submitted through MFM channels?","Waivers","T-0"
"9.10.1.4.","Rated Assignments","Will AFRC/A3 monitor rated officer mismatches?","AFRC/A3","T-0"
"9.11.1.","Professional Specialty Assignments (Chaplain)","Will chaplains apply for assignment through HQ AFRC/HC?","Chaplains","T-0"
"9.11.1.","Professional Specialty Assignments (Chaplain)","Will HQ AFRC/HC notify the MPF or HQ ARPC of approval?","HQ AFRC/HC","T-0"
"9.11.2.","Professional Specialty Assignments (Legal)","Will AFRC/JA assign judge advocates and paralegals?","AFRC/JA","T-0"
"9.11.3.","Professional Specialty Assignments (Medical)","Will HQ AFRC/SG screen and approve applications for medical service officers?","HQ AFRC/SG","T-0"
"9.11.3.","Professional Specialty Assignments (Medical)","Will HQ AFRC/SG assign health professionals and technicians to units?","HQ AFRC/SG","T-0"
"9.11.3.1.","Medical Assignments","Will ARPC/SG assign IR medical personnel?","ARPC/SG","T-0"
"9.11.3.2.","Medical Assignments","Will MAJCOMs manage the IMA program for medical personnel?","MAJCOMs","T-0"
"9.11.3.2.","Medical Assignments","Will assignment approval authority be RIO Det 6?","Assignment approval authority","T-0"
"9.11.3.3.","Medical Assignments","Will IR medical personnel training requirements be managed by AFRC/SGT?","IR medical personnel training requirements","T-0"
"9.11.3.4.","Medical Assignments","Will RIO Det 6 approve assignment transactions?","RIO Det 6","T-0"
"9.11.3.5.","Medical Assignments","Will waiver requests be submitted to AFRC/SG?","Waiver requests","T-0"
"9.11.4.","International Affairs Specialist (IAS) Program","Will AFRC/A1K manage AFR officers in the IAS program?","AFRC/A1K","T-0"
"9.11.4.2.","IAS Program","Will AFRC/A1KK coordinate IAS assignments with SAF/IA?","AFRC/A1KK","T-0"
"9.12.1.","AFR CMSgt Assignments","Will CMSgts be assigned to positions authorized for their grade?","CMSgts","T-0"
"9.12.1.1.","AFR CMSgt Assignments","Will waiver requests for overgrade assignment be processed per Table 9.3?","Waiver requests","T-0"
"9.12.1.2.","AFR CMSgt Assignments","Will the waiver request include specific justification?","Waiver request","T-0"
"9.12.2.","Command Chief Master Sergeant Positions","Will AFRC/CCC make assignment recommendations?","AFRC/CCC","T-0"
"9.12.3.1.","Command Chief Master Sergeant Positions","Will candidates attend the SNCOA?","Candidates","T-0"
"9.12.3.2.","Command Chief Master Sergeant Positions","Will members serve a minimum 3-year tour?","Members","T-0"
"9.12.3.4.","Command Chief Master Sergeant Positions","Will members be reassigned upon tour completion or removal?","Members","T-0"
"9.12.3.5.","Command Chief Master Sergeant Positions","Will the losing NAF/RSG/Wing/Detached Group/ARPC CC ensure a replacement is selected?","Losing NAF/RSG/Wing/Detached Group/ARPC CC","T-0"
"9.12.3.6.","Command Chief Master Sergeant Positions","Will extensions beyond 4 years fall under the FY manning plan?","Extensions","T-0"
"9.12.3.6.","Command Chief Master Sergeant Positions","Will exceptions to policy be forwarded to AFRC/A1 for approval?","Exceptions to policy","T-0"
"9.13.2.","Overseas Assignments","Will MAJCOMs and units overseas allow members to participate for points only?","MAJCOMs and units overseas","T-0"
"9.13.3.","Overseas Assignments","Will ARPC/DPA, RIO Det/CCs and AFR MFM/CFMs have waiver authority?","ARPC/DPA, RIO Det/CCs, AFR MFM/CFMs","T-0"
"9.13.3.","Overseas Assignments","Will the parent MAJCOM or Air Staff agency agree with waiver requests?","Parent MAJCOM or Air Staff agency","T-0"
"9.13.4.","Overseas Assignments","Will prospective applicants contact the nearest AFR recruiter?","Prospective applicants","T-0"
"9.15.1.","ART Assignments","Will waivers be submitted by unit commanders?","Unit commanders","T-0"
"9.15.1.","ART Assignments","Will waivers not exceed 180 days?","Waivers","T-0"
"9.15.1.","ART Assignments","Will extensions beyond 180 days be forwarded for approval by AFRC/A1KK?","Extensions","T-0"
"9.15.1.","ART Assignments","Will waiver requests on colonels be forwarded to AF/REG?","Waiver requests","T-0"
"9.15.1.1.","ART Assignments","Will justification warrant the temporary assignment?","Justification","T-0"
"9.15.2.","ART Assignments","Will members acknowledge revocation of waiver in writing?","Members","T-0"
"9.15.2.","ART Assignments","Will the member vacate the position immediately?","Member","T-0"
"9.15.3.","ART Assignments","Will the Career Development Element file waiver documents?","Career Development Element","T-0"
"9.16.1.1.4.","Key Civilian Positions","Will members not be transferred or discharged unless ordered by SecDef?","Members","T-0"
"9.16.1.2.","Key Civilian Positions","Will individuals designated as key employees be considered ineligible for Ready Reserve?","Individuals","T-0"
"9.16.1.2.","Key Civilian Positions","Will individuals changing to non-key positions be transferred back to Ready Reserve?","Individuals","T-0"
"9.16.3.","Key Civilian Positions","Will members remain in Standby Reserve while filling a key position?","Members","T-0"
"9.16.3.","Key Civilian Positions","Will the Force Management Element/HQ RIO Det/CC reassign members to NARS-ND?","Force Management Element/HQ RIO Det/CC","T-0"
"9.16.4.","Key Civilian Positions","Will the orders publishing agency assign the member if they don't apply to NARS-ND?","Orders publishing agency","T-0"
"9.16.5.3.","Key Civilian Positions","Will negotiations take place between commander and civilian agency/employer?","Negotiations","T-0"
"9.16.7.","Key Civilian Positions","Will commanders promptly notify reservist and employer after removal determination?","Commanders","T-0"
"9.16.8.","Key Civilian Positions","Will all action take place within 30 calendar days of notice?","All action","T-0"
"9.17.2.","Key/Command/JDAL Assignments","Will positions be managed by AFRC/A1K and appropriate CFM?","Positions","T-0"
"9.17.3.","Key/Command/JDAL Assignments","Will CFMs determine key positions?","CFMs","T-0"
"9.17.3.2.","Key/Command/JDAL Assignments","Will eligible candidates include those on RDT Key Personnel Lists?","Eligible candidates","T-0"
"9.17.4.","Key/Command/JDAL Assignments","Will each CFM review rosters annually?","Each CFM","T-0"
"9.17.5.","Key/Command/JDAL Assignments","Will assignments have established tour lengths and focused turnover?","Assignments","T-0"
"9.17.5.1.","Key/Command/JDAL Assignments","Will assignments into Key and Command positions have a 3-year tour length?","Assignments","T-0"
"9.18.2.","AFR Key/Strategic Assignments (Enlisted)","Will assignments into Key and Strategic positions have a 3-year tour length?","Assignments","T-0"
"9.18.2.","AFR Key/Strategic Assignments (Enlisted)","Will extension requests be coordinated through AF/REG Chiefs’ Group, AFRC/CCC, and submitted to AFRC/CD?","Extension requests","T-0"
"9.20.1.","Twice Deferred Officers","Will assignment action be taken for officers twice deferred for promotion?","Assignment action","T-0"
"9.20.1.","Twice Deferred Officers","Will the Force Management element reassign members to ARPC?","Force Management element","T-0"
"9.20.2.","Twice Deferred Officers","Will commanders forward cases to ARPC/DPTTS?","Commanders","T-0"
"9.21.1.","RegAF Retired Members","Will retired members be assigned as overages only if indispensable?","Retired members","T-0"
"9.21.1.","RegAF Retired Members","Will overages for retirees be reviewed case-by-case and not exceed authorized levels?","Overages for retirees","T-0"
"9.21.1.","RegAF Retired Members","Will overages be limited to Lt Col/SMSgt and below?","Overages","T-0"
"9.21.1.","RegAF Retired Members","Will these overages be ineligible for promotion consideration for 2 years?","Overages","T-0"
"9.21.1.","RegAF Retired Members","Will members selected for promotion requiring move be required to submit new indispensability package?","Members","T-0"
"9.21.2.2.","RegAF Retired Members","Will officers be reappointed by president and confirmed by Senate?","Officers","T-0"
"9.21.3.5.","RegAF Retired Members","Will the application include copies of last three performance reports?","Application","T-0"
"9.21.3.8.","RegAF Retired Members","Will the application include supporting documentation on vacancy duration and hiring efforts?","Application","T-0"
"9.22.1.","Unsatisfactory Participation","Will unsatisfactory participation result in discharge or transfer?","Unsatisfactory participation","T-0"
"9.22.1.","Unsatisfactory Participation","Will members transferred serve out remaining MSO in non-participating IRR?","Members","T-0"
"9.22.1.1.","Unsatisfactory Participation","Will recruiters process waiver requests?","Recruiters","T-0"
"9.22.3.","Unsatisfactory Participation","Will AFRC/A1 provide waiver decisions in writing?","AFRC/A1","T-0"
"9.22.4.","Unsatisfactory Participation","Will HQ ARPC/RIO CC provide waiver decisions in writing?","HQ ARPC/RIO CC","T-0"
"9.22.5.","Unsatisfactory Participation","Will the Force Management Element/HQ RIO Det ensure assignment info is on DAF 1288?","Force Management Element/HQ RIO Det","T-0"
"9.22.5.","Unsatisfactory Participation","Will the Force Management Element/HQ RIO Det forward completed DAF 1288?","Force Management Element/HQ RIO Det","T-0"
"9.23.","Fitness Program Failure","Will the recruiter forward DAF 1288 for approval?","Recruiter","T-0"
"9.23.","Fitness Program Failure","Will the Career Development Element/RIO Det/CC ensure info is on DAF 1288?","Career Development Element/RIO Det/CC","T-0"
"9.23.","Fitness Program Failure","Will the Career Development Element/RIO Det/CC forward completed DAF 1288?","Career Development Element/RIO Det/CC","T-0"
"9.26.2.","Accession Actions","Will the recruiter inform HQ ARPC/RSOO upon determining disqualification?","Recruiter","T-0"
"9.26.2.","Accession Actions","Will HQ ARPC/RSOO forward info to HQ ARPC/DPAA?","HQ ARPC/RSOO","T-0"
"9.26.2.","Accession Actions","Will HQ ARPC/DPAA update PDS with AAC “TD”?","HQ ARPC/DPAA","T-0"
"9.26.2.","Accession Actions","Will waivers be considered case-by-case?","Waivers","T-0"
"9.27.1.2.","IR Applications","Will the losing commander make recommendations on DAF 1288?","Losing commander","T-0"
"9.29.","Reserve Vacancies","Will ensuring requirements are identified allow recruiters to meet AFR allocation?","Ensuring requirements are identified","T-0"
"9.29.1.","Reserve Vacancies","Will requirements be input within 30 days of status change?","Requirements","T-0"
"9.29.1.","Reserve Vacancies","Will identifying specific requirements ensure recruiters find qualified applicants?","Identifying specific requirements","T-0"
"10.2.1.","Reserve Brig Gen Qual Board","Will the board convene annually?","Board","T-0"
"10.2.2.","Reserve Brig Gen Qual Board","Will the board recommend qualified colonels?","Board","T-0"
"10.2.3.","Reserve Brig Gen Qual Board","Will the board's recommendation list be approved by CSAF?","Recommendation list","T-0"
"10.2.4.","Reserve Brig Gen Qual Board","Will the board recommend members for specific positions?","Board","T-0"
"10.2.5.","Reserve Brig Gen Qual Board","Will AF/RE notify selected officers?","AF/RE","T-0"
"10.3.2.","Initial GO Assignment","Will assignment orders be published by AF/REG?","Assignment orders","T-0"
"10.4.1.","Reassignment Out of GO Position","Will members completing tours be considered for another GO position?","Members","T-0"
"10.4.2.","Reassignment Out of GO Position","Will reassignment be to IRR or Retired Reserve?","Reassignment","T-0"
"10.4.3.","Reassignment Out of GO Position","Will officers be reassigned effective date GO billet vacated?","Officers","T-0"
"10.4.3.","Reassignment Out of GO Position","Will AFRC/A1KK process reassignment actions?","AFRC/A1KK","T-0"
"11.1.","Propriety of Assignments","Will assignments be consistent with member training, experience, and mobilization potential?","Assignments","T-0"
"11.1.","Propriety of Assignments","Will ARPC reassign members not meeting standards?","ARPC","T-0"
"11.2.1.","Reassignment for Medical Reasons","Will members not meeting medical standards be reassigned?","Members","T-0"
"11.3.1.","Medical Reassignment Responsibilities","Will unit commanders ensure members receive required physicals?","Unit commanders","T-0"
"11.3.2.","Medical Reassignment Responsibilities","Will AFRC/SG ensure medical standards are met?","AFRC/SG","T-0"
"11.3.3.","Medical Reassignment Responsibilities","Will AFRC/SGP determine if profile requires reassignment?","AFRC/SGP","T-0"
"11.3.3.","Medical Reassignment Responsibilities","Will AFRC/SGP notify ARPC/DPA?","AFRC/SGP","T-0"
"11.3.4.","Medical Reassignment Responsibilities","Will RIO Det/CC ensure IR members receive physicals?","RIO Det/CC","T-0"
"11.3.5.","Medical Reassignment Responsibilities","Will ARPC/DPA process reassignments?","ARPC/DPA","T-0"
"11.3.6.","Medical Reassignment Responsibilities","Will ARPC/DPAMR place members in appropriate status?","ARPC/DPAMR","T-0"
