Paragraph Number,Matches,Section,Text
272,1,,4.1.1. The HRO/AGR Manager will ensure vacant or projected vacant UMD AGR positions
283,1,,Airman in accordance with classification and accountability rules (see Chapter 13). RAs  within a fenced PEC will not be realigned outside the PEC.
287,1,,"4.1.7. Fair and equitable treatment of all personnel, regardless of their employment status, is  paramount. Drill Status Guardsmen, military technicians, and AGR personnel must be given  equal opportunity to be considered for AGR vacancies. Specific procedures for application and  verification of eligibility will be established by each TAG or CG within the following  guidelines:"
295,1,,"4.2.1. At a minimum, application packages will include: NGB Form 34-1, Application for  Active Guard/Reserve (AGR) Position, current Report of Individual Person (RIP), and most  recent Report of Individual Fitness from myFitness through the myFSS platform."
296,1,,"4.2.2. Any enlisted Airmen applying for a commissioning opportunity announcement must be  qualified for commissioning at the time of application in accordance with AFMAN 36-2032,  Military Recruiting and Accessions. Assignment to the AGR tour will not become effective until the individual receives a commission in the ANG and as a Reserve of the Air Force and  has completed formal training resulting in the award of an AFSC"
305,1,,"Checklist, to assist in the accession of an AGR (to include occasional and AGR deployment  backfill tours). Members selected for AGR tours must meet the medical retention standards  outlined in DAFMAN 48-123 and the USAF Medical Standards Directory. An Airman with a  Mobility Restriction annotated on an AF Form 469 at the time of his/her AGR package evaluation  will not be eligible to start an AGR order. However, selection of a member is possible if the  member is medically cleared of any Mobility Restricting Duty Limiting Condition (DLC) prior to  starting an AGR order in accordance with AFI 48-133, Duty Limiting Conditions. AGR accession  package evaluations require the SAS, or delegated Flight Surgeon/Provider, certifying authority  approval on an AF Form 422 prior to starting an AGR order in accordance with DAFMAN 48- 123."
315,1,,"level AFSC, they may be assigned immediately. The following statement will be included  in the remarks section of the AF Form 2096, Classification/On-The-Job Training Action:"
316,3,,“I acknowledge that I will attend the first available course that would qualify me in the new  AFSC. I will complete the course successfully and progress in training to a skill-level compatible  with my UMD assignment. Failure to do so will result in the termination of my AGR tour.”
319,1,,"5.2.1.2. If the Airman fails to successfully complete the required formal training in  accordance with DAFI 36-2670, Total Force Development and AFMAN 36-2100, Military  Utilization and Classification, or fails to attend the first available course without  permission from the commander or supervisor due to exceptional circumstances, the  individual will be removed from AGR status."
320,1,,"5.2.1.3. Individuals must continue to progress in training in accordance with DAFI 36- 2670 and AFMAN 36-2100, to a skill-level compatible with their UMD assignment.  Airmen who do not progress to the next skill-level will be removed from AGR status."
324,1,,5.4. Commissioning of Enlisted Member. Enlisted personnel applying for officer positions  must be eligible for commissioning upon application for AGR duty. Assignment to the AGR tour  will not become effective until the individual receives a commission in the ANG and as a Reserve  of the Air Force and has completed formal training for which an AFSC has been awarded
329,2,,"5.6.1. AGR follow-on assignments will not be issued without a current favorable adjudicated  security clearance investigation. Extensions to orders while awaiting security clearance  adjudication will be considered on a case-by-case basis and must be submitted through TAG  or CG, or designee, to NGB/A1PP for consideration."
330,1,,"5.6.2. If a Top Secret security clearance is not held by Airmen selected for an AGR assignment  that requires access to top secret information, the Airman must initiate a security clearance  update. The AGR selectee must notify his/her unit security manager to initiate a new security  investigation. The HRO/AGR Manager will not issue the AGR orders until the security  clearance upgrade is initiated, and the member has a current favorable investigation."
334,1,,Active Component. Requests for waiver to this policy will be annotated on the AF Form 679 and  routed to NGB/A1PP.
338,1,,"sanctuary zone (18 to 20 years of TAFMS). Anyone whose order, whether active duty (AD) or  full-time National Guard duty (FTNGD) other than for training, places them at 18 years or more  of TAFMS will require a signed, approved sanctuary waiver in accordance with DAFI 36-2110,  Total Force Assignments."
340,1,,"TAFMS in the AGR career program. Waiver authority of this requirement is The Adjutant General,  Commanding General, or designee. Individuals selected for AGR tours that cannot attain 20 years  of TAFMS prior to reaching mandatory separation must complete the Statement of Understanding  contained in Attachment 3. The HRO will maintain the completed, signed Statement of  Understanding."
350,1,,must be a minimum of one year and will not exceed six years (Reference paragraph 6.2).
351,2,,6.1.1.1. Follow-on tours will not exceed six years and will not extend beyond an enlisted  Airman's Expiration of Term of Service (ETS) or an officer's Mandatory Separation Date  (MSD).
354,1,,6.1.2. AGR orders will be initiated by the HRO Remote Designee at each military installation
355,2,,"and managed by the HRO/AGR Manager at each JFHQ. For units who do not have an HRO  Remote Designee, the commander will appoint a designee. The orders will include the  following mandatory statement in the remarks:"
356,4,,"“Upon approval and by order of federal command authority, ANG AGR Airmen will  automatically convert to Title 10 USC Section 12301(d)/12302/12304 status (as appropriate)  when performing duty OCONUS or CONUS, supporting Active Duty requirements for  operations/missions/exercises. All Title 10 duty, regardless of length, will be documented  via ANG Form 1299 which shall reflect the Title 10 authority, Title 10 duty inclusive dates,  named mission and MAJCOM being supported. T10 duty in support of Regular Air Force  operational requirements must be supported by and reconciled to M4S authorizations.  While performing duty under Title 10 orders, AGR Airmen are assigned to the 201 MSS,  ANGRC, Joint Base Andrews, MD for ADCON purposes and subject to the Uniform Code  of Military Justice (UCMJ). AGR Airmen will revert to their original Title 32 USC Section  502(f) status upon completion of this period. This policy applies to both CONUS and  OCONUS duty supporting current or future operations. By order of the commander, ANG  AGR Airmen will automatically convert to Title 10 USC 10147 status when performing  duty OCONUS for training purposes."""
358,1,,6.1.2.2. Units performing Aerospace Control Alert (ACA) missions will auto-convert in
360,1,,"6.2. Probationary Period. In accordance with DoDI 1205.18 the probationary period for all  AGRs begins when the individual starts their initial AGR assignment and is defined by the length  of the initial tour. TAG or CG will determine the initial probationary period. This authority may  be delegated no lower than the Director, HRO. States have the option to conduct an ACB to select  for career status."
363,1,,extend an AGR member’s probationary period in any increment not to exceed six years. The  HRO/AGR Manager will maintain a roster of all probationary AGR members to ensure  appropriate force management decisions are communicated in required timeframes.
366,2,,"6.3. Tour Expiration. Individuals who are not granted career status after the probationary period  (including extension to probationary period) or are not renewed will be separated on the expiration  of their AGR order. The HRO will ensure Airmen are notified at least 180 days prior to tour end  date. All AGRs, regardless of their career status, are entitled to separate on the expiration of their  AGR order with applicable entitlements."
368,1,,"6.4.1. Extension of the current tour or selection for subsequent tours is based on the mission  needs of the unit and authorized force structure. An AGR Airman will be considered career  status upon completion of the initial AGR tour, or probationary extension not to exceed 6 years,  and order renewal."
369,1,,6.4.2. The HRO will ensure Airmen are notified at least 180 days prior to their tour end date
371,1,,6.5. Permanent Change of Station (PCS). Travel and transportation entitlements will be as
375,1,,6.5.1.1. The gaining state will publish the AGR order with the concurrence of the losing
377,1,,6.5.1.2. The AGR assignment order will include the number of days required for the
384,1,,"funded military positions with a RIC “0148” (AGR Enlisted) on the UMD. Note: If authorized  within the state, the use of Local Area Realignments (LAR) may result in a RIC mismatch  between the AGR status of the member and the documented UMD position. AGR members  will be coded as AGR in MilPDS when using an LAR."
391,1,,6.6.2.4. Airmen with a student flight primary AFSC (PAFSC) of 92 and 9T will not be
394,2,,"is a valid full-time requirement on the UMD. Requests for waivers to this policy will be  submitted by AF Form 679 through TAG or CG, with coordination from the state/Territory  Command Chief to the ANG First Sergeant Component Functional Manager (CFM) for  consideration. Approved waivers will be accomplished through LAR of AGR resources  within the requesting state/territories’ allocated AGR authorizations."
400,1,,6.7.2. AGR personnel affected by UMD reductions will be given priority for reassignment to
409,1,,"AGR personnel. Commanders will leverage the MDR program to effectively integrate personnel  force development goals, operational requirements, and career management objectives that sustain  and support their unit/wing/state requirements."
411,3,,without advertising the position and without the Airman's consent. The Airman must already  be qualified in the duty AFSC. MDRs will not create any excess or overgrade conditions nor  will they lead to any promotions beyond the highest military grade identified for a member’s  current position when advertised and hired. Exceptions are permitted for officers who have  been selected by a promotion board and have not yet pinned and are currently occupying a  higher graded position. Note: The HRO will notify AGR members in writing if they are subject  to MDR.
414,1,,6.8.3. AGR Airmen who decline a MDR will be released from the AGR program no earlier
417,1,,"6.10. Details. Details are one-time, short-term assignments designed to meet an emergent need.  AGR Airmen detailed outside their AFSC will not be detailed for more than 120 days within a  four-year period. Consecutive or “back-to-back” details are prohibited. All details must be  coordinated with and monitored by the HRO or AGR Manager."
422,3,,"(DJMS). Permanent, occasional, and AGR deployment backfill tours will be entered into MilPDS  in accordance with Attachment 4 of this instruction. Permanent AGRs will be paid through the  Defense Joint Military Pay System – Active Component (DMJS-AC) and occasional/AGR  deployment backfill tours will be paid through the Defense Joint Military Pay System - Reserve  Component (DJMS-RC)."
431,2,,"7.1.2. Officers selected for promotion under Reserve Officer Promotion Management Act  (ROPMA) can only be promoted within the state’s controlled-grade ceilings. The availability  of a controlled grade and an assignment in a funded, AGR position on the UMD (RIC “0034”  or “0148”) will be determining factors. Promotions will be involuntarily delayed, indefinitely,  if a controlled grade is not available. Reference AFI 36-2504, Officer Promotion, Continuation  and Selective Early Removal in the Reserve of the Air Force for additional guidance. If a  controlled grade (O-5) is available, an officer promoted under ROPMA may be assigned as an  overgrade in an O-4 position on the UMD in accordance with DAFI 36-2110."
435,1,,"7.1.3. All AGR colonel promotion nominations will be coordinated through the HRO/AGR  Manager and MPMO to NGB/A1PO, Officer Force Management and Policy Branch."
446,2,,"7.4. Performance Evaluations. Officer and Enlisted personnel will have Officer Performance  Reports (OPR), Enlisted Performance Reports (EPR) and Performance Feedback Worksheets  (PFW) rendered in accordance with DAFI 36-2406, Officer and Enlisted Evaluation Systems. The  unit/wing commander or designated representative will establish the supervisory/evaluation chain"
448,1,,7.5. Training and Developmental Education (DE). AGR members will be afforded the same
449,1,,opportunity for enhancing their military knowledge and career as is presently available to all other  ANG Airmen. AGR members attend all service schools in their AGR status. Orders will indicate  the fund citation for travel and per diem provided under the school quota authorization.
454,2,,7.5.3. Formal Training. Formal training courses listed in the Education and Training Course  Announcements (ETCA) will be requested when the need for training is mission essential.  Training requests will be submitted through FSS Force Development.
455,1,,"7.5.4. Training Waivers. AGRs will use the training waiver procedures currently prescribed  by DAFI 36-2670, Total Force Development."
459,1,,7.5.6. Retainability. AGRs will meet appropriate retainability requirements according to the
466,1,,7.6.1. Duties of AGR personnel will be governed by the functions inherent to the AGR  positions they occupy on the UMD and Duty Air Force Specialty Code (DAFSC).
467,1,,7.6.2. AGR Airmen will perform a minimum of forty hours of duty per week. Regular or
470,1,,"Regularly Scheduled Drill (RSD) or equivalent periods of training unless excused from duty  in accordance with DAFI 36-3003, Military Leave Program. AGR personnel will also be  available to participate in annual training periods, deployments, and exercises when required."
475,1,,7.7.1. Commanders will maintain unity of command and integrity of supervisory  relationships. Military rank is the determining factor when designating supervisory  responsibilities. Grade inversion is detrimental to the military nature of the ANG and is not  authorized.
478,1,,"7.8.1. AGR members called or ordered to Title 10 federal active duty (OCONUS/CONUS)  supporting Active Duty requirements for operations/missions/exercises/training (10 USC §  12301(d), 12302, 12304, or 10147) will not be terminated from their 32 USC § 502(f) orders."
482,1,,"Upon approval and by order of a Federal command authority, AGRs performing Title 10 duty  for 30 or more consecutive days in support of the active Air Force pursuant to 10 USC §  12301(d) , 10 USC § 12302, or 10 USC § 12304, for which reimbursement of AGR accounts  may be required as set forth in paragraph 7.9.4, must have their AGR order amended to  include in the remarks section the following information and have such duty documented on  ANG Form 1299 (regardless of duration of tour), which shall reflect: Authority in which they  are called to Title 10, inclusive dates of the Title 10 duty, named mission they are supporting,  and active duty MAJCOM they are being tasked to support. An example is as follows: “AGR  Airman will convert to Title 10 USC Section 12301(d) in support of OPERATION  ENDURING FREEDOM from 15 January 2009 to 26 May 2009, GMAJCOM: ACC.” If the  GMAJCOM releases the AGR Airman from Title 10 duty sooner than original expiration day,  an amendment to to the ANG Form 1299 must reflect the appropriate end date of the Title 10  duty."
486,1,,"regardless of duration. A sample of ANG Form 1299, Certificate of Statement of Service can be found in Attachment 15. The ANG Form 1299 is a source document which will be  entered into the member’s record in the Automated Records Management System (ARMS).  Please note this form is applicable to Officers and Enlisted Airmen."
493,1,,"Components, provides that Airmen must be in Title 10 status when outside the United States, its  Territories, and possessions. Title 32 ANG AGR members may have to travel outside the United  States, its Territories, and possessions in connection with their AGR duties (e.g., AEF Rotations,  State Partnership Program Director). In such cases by accepting entry into the AGR program, the  Airman consents to being automatically converted to Title 10 status under 10 USC § 12301(d) or  10 USC § 10147 (as applicable) for the duration of the OCONUS duty while retaining their status  as AGRs during this period. Therefore, all AGR orders upon acceptance of an AGR tour will  include the mandatory remarks outlined in paragraph 6.1.2."
495,1,,"requirements while performing Title 10 duty. If AGRs are TDY from their home station,  applicable CED or TDY orders will be published in accordance with AFI 65-103, Temporary  Duty/Special Orders and DAFI 36-3802, Force Support Readiness Programs."
501,1,,Title 10 service performed by an AGR. The AGR Manager or office responsible for  amending AGR orders to reflect an AGR’s Title 10 service will provide a copy to the  FSS/IPR for updates to MilPDS.
506,2,,"7.9.4. Title 10 Duty Fiscal Authority/Reimbursement for Title 10 Tours. NGB/FM is  responsible for ensuring the days (dollars) during which an ANG AGR converts to Title 10 in  support of active duty requirements is reimbursed by Air Force FM. Wing Comptroller offices  will ensure the Manpower MPA Man-day Allocation Management System (M4S) is updated  for the ANG to be reimbursed for applicable AGR’s Title 10 active duty. It is imperative, from  a fiscal perspective, reimbursement requests are updated in M4S, so appropriations are  consistent with the purpose of the duty in accordance with 31 USC § 1301(a). Reimbursement  is not applicable to 10 USC § 10147. For ANG AGRs on Title 10 duty to support the State  Partnership Program, reimbursement will be coordinated between NGB-J53-IA and NGB/FM  to execute reimbursement as needed using existing ANG reimbursement procedures."
508,1,,7.9.5. Documentation of Title 10 Service. The FSS will issue a DD Form 214 for all periods
535,1,,in sanctuary will be separated from the AGR program. Refer to DAFI 36-2110 for ineligibility  requirements. Officers and enlisted within the sanctuary zone must have their separation  approved by the Secretary of the Air Force (SecAF) or designee. AGR personnel must  complete the specified period of their orders unless released due to any of the following  provisions:
544,1,,8.1.3. An AGR Airman released from an AGR tour greater than 180 days will accomplish a
551,1,,8.3.1. Airmen will be separated from AGR status at the expiration of their current tour if:
555,1,,"Airmen excluded). The Airman may request reconsideration of the non-renewal of an AGR  tour, through command channels, to TAG or CG. TAG or CG will make the final  determination. Reconsiderations must be submitted to the TAG or CG no later than 30 days  after notification. TAG or CG is final reconsideration authority."
567,1,,"8.5.1. Commanders should initiate a preliminary inquiry with the HRO to determine if an  involuntary curtailment is appropriate. The commander will notify the Airman, in writing, of  the proposed action after consulting with HRO. The curtailment timeframe may vary  depending on the circumstances leading up to the curtailment decision. While every effort must  be made to provide due process to AGR members, when there is a preponderance of evidence  that indicates that the AGR member may be a threat to others, the ANG or national security,  AGR orders may be curtailed immediately."
569,2,,"8.5.1.1. After acknowledging receipt of commander notification, the Airman may submit  a written statement within 7 calendar days of notification. The written statement must be  submitted with the commander’s recommendation to TAG or CG. The commander’s  recommendation for involuntary curtailment must be submitted through the appropriate  chain of command, with a legal review, to the HRO. TAG or CG will review  recommendations for involuntary curtailment and will make the final determination. This  authority may not be delegated. TAG or CG may order a command directed investigation  (CDI) in accordance with AFI 90-301, Inspector General Complaints Resolution."
570,1,,8.5.1.2. The HRO will notify the Airman of an approved curtailment and the Airman’s
572,2,,"8.5.2. Involuntary Curtailment Reconsideration. An approved curtailment may be submitted  for reconsideration to TAG or CG only if significant new information is obtained. Curtailment  action will continue while pending reconsideration. If a written request for reconsideration is  not filed, reconsideration rights will be waived. Additionally, commanders must coordinate  with the Guard Medical Unit (GMU) to ensure the member does not have any unresolved In"
575,1,,"1241.01: When an RC Service member is on active duty (AD) or full-time National Guard  duty (FTNGD) for a period of more than 30 days and, at the scheduled end of that period,  has an unresolved in-LOD condition that may render the member unfit for duty under the  Disability Evaluation System (DES), but this has not yet been determined by the DES, the  member: (a) Will, with his or her consent, be retained on AD or FTNGD until: 1.  Outstanding in-LOD conditions are resolved; or 2. He or she is either found fit for duty,  separated, or retired as a result of a DES finding. (b) May elect to be released from  active duty before resolution of the conditions or completion of the DES process."
577,1,,8.5.2.3. HRO will notify the Airman of the reconsideration outcome and notify the  Airman’s chain of command of any further processing requirements.
578,2,,"8.5.3. If an Airman is involuntarily curtailed and is under a bonus contract, the bonus contract  will be terminated upon the expiration date of the AGR order established by the involuntary  curtailment. Repayment of any unearned portion of the bonus will be determined by NGB  Office of Primary Responsibility or the Defense Finance and Accounting System (DFAS) as  appropriate."
579,1,,"8.6. Involuntary Release. Mission realignments, total force initiatives, Base Realignment and  Closure (BRAC), end-strength limitations or other force management actions may require  involuntary release of an AGR prior to the AGR tour end-date. The HRO will manage the"
581,2,,"involuntary release process and Airmen will be notified of all actions and requirements associated  with this release. The notification will stipulate if the reduction affects AGR personnel only and  provides an effective date of the RIF in accordance with paragraph 10.5 If an AGR member is  eligible for AD Sanctuary, refer to DAFI 36-2110. AGR Airmen separated may be eligible for  separation pay based on length of service in accordance with 10 USC § 1174, the DoD FMR and  JTR. Unit comptroller or designated representative must counsel AGR Airmen on the provisions  of these entitlements (see Attachment 5)."
582,1,,8.7. Involuntary Discharge. Commanders may initiate involuntary discharge actions for officers  and enlisted personnel in accordance with AFI 36-3209. AGR members selected for non-retention  in accordance with ANGI 36-2651 will be notified not less than 180 days from official notification  of non-retention by TAG or the CG.
583,1,,"8.8. Mandatory Separation. Personnel will be separated, regardless of the expiration date of  their current AGR tour, for the following reasons:"
585,1,,"sanctuary under the provisions of 10 USC § 12646 or 10 USC § 12686, officers will be  separated by their MSD established by law. Any officers who have entered sanctuary, and do  not consent to being separated as addressed in DAFI 36-2110, may submit a request to have  their MSD extended to the date in which they reach their regular or non-regular retirement  eligibility. The request must be initiated by the officer, coordinated through his/her chain of  command (to include the HRO for awareness) and submitted by the MPMO to NGB/A1PP to  have the MSD updated in MilPDS to reflect either the first day of the month after the officer  reaches regular retirement eligibility (10 USC § 12686) or the date the officer reaches non regular retirement eligibility (10 USC § 12646). See Table 5.2. of AFI 36-3203 for more  information regarding the conditions under which officers may request to be retained beyond  retirement eligibility."
599,1,,8.9.2. Applications for regular retirement will be processed in accordance with AFI 36-3203.
600,2,,"Title 32 AGR members will apply for retirement via the virtual Personnel Center (vPC)  website. Retirement restrictions or prohibitions are referenced in Chapter 3 of AFI 36-3203. If/when approved, ARPC will issue the retirement order and process actions to DFAS."
610,1,,8.10.1. Applications for reserve retirement will be processed in accordance with AFI 36-3203.
611,2,,"Members will apply for retirement through the vPC website. Retirement restrictions or  prohibitions are referenced in Chapter 3 of AFI 36-3203. If/when approved, ARPC will issue  the retirement order and process actions to DFAS."
615,1,,8.11.1. The FSS will issue a DD Form 214 to Airmen separating from the AGR program and
623,2,,"9.1. AGR Continuation Board (ACB). TAG or the CG determines if an ACB will convene.  While an ACB is not mandatory, it provides Wing, Group, and Unit Commanders, supervisors,  and AGR members an opportunity to participate in retention decisions affecting assigned AGR  personnel. The ACB may review and recommend selection for entry into the career program and/or  continuation beyond 20 years of TAFMS. Separation from the AGR program under this chapter is  not considered punitive in nature and will not be used where separation for cause is more  appropriate."
631,1,,9.3.1.1. Determines if an ACB will convene.
639,1,,9.3.2.1. Identify and notify AGR members whose records will be reviewed by the ACB
640,3,,"no later than 90 days prior to the board convening. The HRO/AGR Manager will provide  an ACB Worksheet as a means of notifying each member being considered at the ACB  with instructions to return it by the assigned suspense date after it has been completed by  the member and endorsed by the member's chain of command. The HRO/AGR Manager  will review all ACB Worksheets to ensure supervisor and commander recommendations,  to include Airman’s signature of acknowledgement, are received. Note: Individuals on  occasional or AGR deployment backfill tours are term-limited and will not meet an ACB  for consideration of career status."
641,1,,"9.3.2.2. Publish a Memorandum of Instruction (MOI) for use by ACB members. The MOI  will include the composition, administrative support, and guidance on the conduct of the  board as directed by TAG or the CG."
653,1,,9.4. ACB Composition. TAG or the CG will appoint members to the board using the AGR  Continuation Board Appointment Memorandum template found in Attachment 6 of this  instruction. The board is subject to the following criteria:
654,3,,"9.4.1. Boards will be comprised of at least three voting members who are officers of equal or  higher grade to those being considered, the ANG State Command Chief Master Sergeant  (CCM) or a Chief Master Sergeant senior in grade to any of the enlisted members being  considered, and two non-voting members who will provide technical assistance (one board  advisor and one recorder). The board should be diverse in gender and ethnicity. Relatives of  Airmen being considered will not be appointed as ACB members."
655,1,,9.4.1.1. The board will normally consist of the ANG State Command Chief Master
656,1,,"Sergeant (CCM) but must have at least one Chief Master Sergeant as a member. The CCM  or CMSgt board member will only have voting privileges on enlisted records meeting the  board. The CCM, by nature of the position, is considered senior in grade to any of the  enlisted members being considered at the ACB regardless of anyone’s date of rank."
657,2,,9.4.1.2. The senior officer in a federally recognized grade will be the board President. 9.4.2. AGR Airmen being considered will not be appointed as ACB members.
658,1,,9.4.3. All board members will be present for all sessions.
659,1,,9.4.4. The Board Advisor will be a qualified technical advisor selected by the HRO to assist  the President with technical questions pertaining to the AGR program.
664,2,,9.6. ACB Pre-Board Process. The HRO will identify and notify AGRs who will be reviewed by
665,2,,"the convening ACB for either career status and/or continuation beyond 20 years of TAFMS no  later than 90 days prior to convening the ACB (see Attachment 7, Pre-review AGR Continuation  Board (ACB) Notification Memorandum (Individual)). AGR members will be provided an ACB  Worksheet (see Attachment 8, AGR Continuation Board (ACB) Worksheet). Additionally, the  commander will be notified and provided a suspense for return of the ACB Worksheet to the HRO  no later than 30 days prior to the scheduled ACB (see Attachment 9, Pre-review AGR  Continuation Board (ACB) Notification Memorandum (Commander))."
674,1,,9.7.1. All proceedings will be held in closed session. AGR Airmen being considered by the
675,5,,ACB will receive fair and impartial consideration. The ACB will be free from any improper  command influence or other influence(s) that could impact the performance of the board’s  duties. Board members may not discuss or consider any outside communication or material  not otherwise contained in the material properly presented before the ACB. Board members  will not communicate with anyone outside the board membership in reference to the board  proceedings. Individuals appointed to the ACB will be administered the oath outlined in  Attachment 10. The board recorder will review all documents for completeness before the  board convenes.
676,1,,9.7.2. No Airmen will appear in person before the board.
678,3,,"for continuation beyond 20 years of TAFMS. Each Airman being reviewed by the ACB will  complete the ACB Worksheet, documenting the member’s career intentions and the  recommendations from the member’s supervisor and chain of command, and the board will  review all completed ACB Worksheets. It is not the responsibility of the board to screen AGR  records to determine whether AGR Airmen have met the administrative requirements of the  AGR Program. Airmen on occasional and AGR deployment backfill tours are term-limited and  will not meet an ACB for consideration of career status."
680,1,,"9.7.4. The ACB decisions are based on the needs of the unit, state, and ANG. The ACB will  consider: the Airman’s ACB Worksheet listing his/her desire to participate in the AGR  Program and all supervisor/commander recommendations, the ACB Profile (see Table 9.1),  and the “whole person” concept and current and future force structure. Each member’s service  history is reviewed to determine his/her ability to attain 20 years TAFMS and to determine if  the Airman’s participation in the career program is in the best interest of the ANG."
