section_number,section_title,content
10.1,,Priority Placement of Overgrade Airmen. .............................................................  48
10.2,,Implementation of PPP. ........................................................................................  48
10.3,,Notification of Overgrade. ....................................................................................  49
10.4,,Reduction in Force. ..............................................................................................  49
10.5,,Implementation of RIF. ........................................................................................  49
10.6,,AGR RIF Boards. .................................................................................................  50  Chapter 11—RECRUITING AND RETENTION    51
11.1,,General.................................................................................................................  51
11.2,,Entry Grade/Skill-Level Qualifications. ................................................................  51   6  ANGI36-101  21 APRIL 2022
11.3,,Selection Process. .................................................................................................  51
11.4,,Length of Tours. ...................................................................................................  51
11.5,,Occasional Tours. .................................................................................................  51
11.6,,Tour Termination. ................................................................................................  52  Chapter 12—MEDICAL    53
12.1,,General.................................................................................................................  53
12.2,,Eligibility for AGR Tours. ....................................................................................  53
12.3,,Medical Care. .......................................................................................................  54
12.4,,"Retention/Release of Airmen. ...............................................................................  55  Chapter 13—RESOURCES, ACCOUNTING, CONTROLLED GRADES, OCCASIONAL,  AND AGR DEPLOYMENT-BACKFILL TOURS    56"
13.1,,Use of AGR Resources. ........................................................................................  56
13.2,,Accountability and Funding. .................................................................................  56
13.3,,Controlled Grade Ceilings. ...................................................................................  56
13.4,,Occasional Tours and AGR Deployment Backfills. ...............................................  57
13.5,,Counter Drug Support. .........................................................................................  58  Attachment 1—GLOSSARY OF REFERENCES AND SUPPORTING INFORMATION    59  Attachment 2—AGR ELIGIBILITY CHECKLIST    69  Attachment 3—STATEMENT OF UNDERSTANDING    72  Attachment 4—MILPDS INSTRUCTIONS    73  Attachment 5—NGB FORM 801 (SAMPLE)    74  Attachment 6—AGR CONTINUATION BOARD (ACB) APPOINTMENT  MEMORANDUM    76  Attachment 7—PRE-REVIEW AGR CONTINUATION BOARD (ACB) NOTIFICATION  MEMORANDUM (INDIVIDUAL)    77  Attachment 8—AGR CONTINUATION BOARD (ACB) WORKSHEET    78  Attachment 9—PRE-REVIEW AGR CONTINUATION BOARD (ACB) NOTIFICATION  MEMORANDUM (COMMANDER)    80  Attachment 10—AGR CONTINUATION BOARD (ACB) OATH    81  Attachment 11—AGR CONTINUATION BOARD (ACB) - REPORT FORMAT    82  Attachment 12—AGR CONTINUATION BOARD (ACB) MINORITY REPORT  FORMAT    83   ANGI36-101  21 APRIL 2022  7  Attachment 13—POST-REVIEW AGR CONTINUATION BOARD (ACB)  NOTIFICATION MEMORANDUM (COMMANDER)    84  Attachment 14—AGR CONTINUATION BOARD (ACB) MEMBER  ACKNOWLEDGEMENT OF DECISION NOTIFICATION    85  Attachment 15—ANG FORM 1299 (SAMPLE)    86     8  ANGI36-101  21 APRIL 2022  Chapter 1  ROLES AND RESPONSIBILITIES
1.1,,"Overview.  This instruction provides The Adjutants General (TAGs) and Commanding  General (CG) personnel and manpower policy for developing and managing a career program for  AGR personnel within their respective states/territories/district. The AGR program shall be  administered as a career program which may lead to a regular retirement after attaining the required  years of total active federal military service (TAFMS) in accordance with Department of Defense  Instruction (DoDI) 1205.18, Full-Time Support (FTS) to the Reserve Components. For the  purposes of this instruction, a career management program is defined as a program that may afford  individuals the opportunity to achieve upward mobility consistent with manpower constraints and  the needs of the ANG. Note: For the purposes of this instruction, references to state, territory or  district will be referred to by the term “state” herein."
1.2,,National Guard Bureau.
1.2.1,,Force Management Division (NGB/A1P).
1.2.1.1,,Acts as the lead agent and provides overall personnel and program management  of the AGR program.
1.2.1.2,,Coordinates on all AGR officer promotions and accessions.
1.2.1.3,,Provides implementation guidance for the management and employment of AGR  personnel in accordance with this instruction.
1.2.1.4,,Reviews and approves/disapproves all waivers for this instruction.
1.2.1.5,,Formulates AGR policy based on DoDI 1205.18.
1.2.2,,Manpower Organization and Resources Division (NGB/A1M).
1.2.2.1,,"Provides and evaluates resources, grade, and end-strength management.  (NGB/A1M)"
1.2.2.2,,Manages the manpower and programming of AGR end-strength and ensures AGR  authorizations and requirements across all organizations are updated in the Manpower  Programming and Execution System (MPES).
1.2.2.3,,Reports AGR end-strength in accordance with 10 USC § 115 and controlled  grades in accordance with 10 USC § 12011 (officers) and 10 USC § 12012 (enlisted).
1.2.2.4,,Provides each state with their AGR funded authorizations and controlled grades.
1.2.3,,Office of Recruiting and Retention (NGB/A1Y).
1.2.3.1,,Provides management oversight of AGR members in Recruiting and Retention.
1.2.3.2,,Serves as the office of primary responsibility on 8R000 Special Duty Identifier  (SDI) oversight and policy guidance.
1.3,,The Adjutant General (TAG) or Commanding General (CG).
1.3.1,,Responsible for implementing this instruction and ensuring the administration and  oversight of the AGR program within the state.   ANGI36-101  21 APRIL 2022  9
1.3.2,,"Ensure AGR Airmen are provided career opportunities for promotion, career  progression, retention, education and professional development consistent with assigned  missions, strength limitations and policies."
1.3.3,,"Ensures AGR Airmen are assigned to validated positions compatible with their military  grade, skill levels and specialties."
1.3.4,,The TAG or CG may delegate these responsibilities in writing to the Human Resource  Officer (HRO).
1.4,,Human Resource Officer (HRO) and AGR Manager.
1.4.1,,"Responsible for developing, managing, and oversight of AGR program and policies  within the state to include new hire orientation/briefing. The HRO may delegate certain  responsibilities in writing to the AGR Manager."
1.4.2,,Primary point of contact for communications with NGB/A1 concerning the AGR  program.
1.4.3,,Focal Point for AGR resource allocations (RAs) from the Unit Manpower Document  (UMD).
1.4.3.1,,"Receives, reviews, and updates leadership with UMD changes and AGR RAs."
1.4.3.2,,Coordinates with appropriate state headquarters personnel to identify state needs  for mission accomplishment and distributes RAs to units.
1.4.3.3,,Monitors unit manning to preclude excess and/or overgrade assignments of AGR  personnel and to preclude over-execution of allocated resources.
1.4.4,,Manages and provides oversight of AGR controlled grades.
1.4.4.1,,"Compiles and submits state AGR controlled grade execution report monthly to  NGB/A1M. Input should be received from respective units and consolidated. The report is  due to NGB/A1M no later than the 7th of each month. NGB/A1M provides a standardized  report format directly to the HRO. If any HROs do not have the template, they should  contact their NGB/A1M AGR Program Manager for assistance."
1.4.4.2,,"Ensures state does not exceed 100 percent of their allocated AGR controlled  grades in each grade and that all restorations, promotions, and new hires are accommodated  within controlled grade ceilings."
1.4.5,,Has oversight for AGR announcements and selections.
1.4.5.1,,Reviews consistency of the AGR program vacancy announcement and hiring  procedures.
1.4.5.2,,Processes all requests for AGR tour announcements to ensure compliance with  directives or instructions.
1.4.5.3,,Develops and distributes job announcements and reviews applications to ensure  eligibility of applicants.
1.4.5.4,,Receives and reviews selection package to ensure that established guidance has  been followed for appointment.   10  ANGI36-101  21 APRIL 2022
1.4.6,,Ensures AGRs are input into the Defense Enrollment Eligibility Reporting System  (DEERS).
1.4.7,,"Approves AGR tour orders, and ensures procedures established by TAG or CG or  designated representative are enforced. Ensures order tour length and additional mandatory  remarks are in included within each order. The HRO will provide a copy of any AGR orders  and amendments to the Force Support Squadron and ensures all medical and fitness  requirements are met for both occasional and permanent AGR tours prior to publishing AGR  orders."
1.4.8,,Manages Priority Placement Program (PPP) and Reductions in Force (RIF).
1.4.9,,Conducts periodic staff assistance visits to units.
1.4.10,,Advises AGRs of changes to AGR policies and instructions and annually hosts AGR  briefing for all AGRs assigned within the state to openly discuss AGR programs and policy  issues.
1.4.11,,"Monitors all medical evaluations boards (MEBs), Physical Evaluation Boards (PEBs)  line-of-duty determinations (LODs), and possible Temporary Disability Retired List (TDRL)  actions in conjunction with the FSS and Medical Commander."
1.4.12,,Manages AGR Continuation Board (ACB) process.
1.5,,Wing/GSU Commander (or equivalent).
1.5.1,,Responsible for the day-to-day operational and management oversight of assigned  AGRs.
1.5.2,,Responsible for proper execution and not exceeding the number of AGR RAs and  controlled grades allocated to the wing and centrally managed by the state HRO.
1.5.3,,Establishes appropriate duty hours to meet mission requirements.
1.5.4,,"Ensures leave policy compliance in accordance with DAFI 36-3003, Military Leave  Program."
1.6,,"Unit Commander (or equivalent).  Unique responsibilities for commanders include but are  not limited to the following: coordination on curtailment actions, recommendation for promotion  or demotion and continuation, and initiation of involuntary curtailment and manpower actions and  maintaining a copy of written approval, AF Form 3902, Application and Approval for Outside  Employment of all AGR Airmen."
1.7,,Force Support Squadron (FSS).
1.7.1,,Implements AGR policy and provides technical guidance regarding AGR policies and  programs to AGR personnel and supervisors.
1.7.2,,"Ensures proper processing of personnel actions, i.e., annual performance reports, etc."
1.7.3,,Coordinates with the Medical Group (MDG) on matters relating to physical  examinations/ Periodic Health Assessments (PHA) for current and potential AGR personnel.
1.7.4,,"Coordinates with HRO for any status change of Wing AGRs, such as deployments and  changes from Title 32 to Title 10 status.   ANGI36-101  21 APRIL 2022  11"
1.7.5,,"Enrolls AGR Airmen and family members into DEERS, and issues appropriate ID  cards."
1.7.6,,"Schedules retirement counseling for AGR personnel, and coordinates retirement actions  with the HRO."
1.7.7,,Advises AGR Airmen on eligible retirement programs under the military retirement  system by counseling Airmen regarding the Reserve Component Survivor Benefit Plan  (RCSBP) or the Survivor Benefit Plan (SBP).
1.7.8,,"Monitors personnel being processed through Air Force medical channels for possible  Medical or Physical Evaluation Boards (MEB/PEB), line-of-duty determinations (LODs), and  possible placement on TDRL. All MEBs, LODs, and TDRL actions will be coordinated with  the MDG and HRO for review and action as necessary."
1.7.9,,"Accomplishes the official DD Form 214 for personnel as identified in paragraph 2.4.2.  of AFI 36-3202, Certificate of Release or Discharge from Active Duty (DD Form 214/5  Series)."
1.8,,Human Resource Office Remote Designee.
1.8.1,,Integral Airman of the FSS who performs full-time support duties in collaboration with  the HRO.
1.8.2,,Provides face-to-face full-time personnel services in order to alleviate distance between  full-time personnel and the state HRO staff when the HRO staff is geographically separated  from the Wing/GSU.
1.8.3,,"When no Human Resource Office Remote Designee is assigned, the FSS Commander  will designate another section of the FSS to assume support responsibilities."
1.9,,Wing Comptroller Squadron/Flight.
1.9.1,,Ensures appropriate documentation is completed to access permanent AGRs into the  Defense Joint Military Pay System – Active Component (DJMS-AC) as well as  occasional/AGR deployment backfill tours into the Defense Joint Military Pay System –  Reserve Component (DJMS-RC).
1.9.2,,"Collaborates with the base LeaveWeb manager to ensure AGR Airmen understand leave  procedures (accrual, amount carried forward each fiscal year, and request procedures)."
1.9.3,,"Processes all in and out-processing documentation required to ensure AGR Airmen  receive Permanent Change of Station (PCS) entitlements, and or Separation Pay, if so entitled."
1.9.4,,"Receives copies of AGR orders and documentation supporting personnel actions  affecting accession, separation, promotion, demotion and entitlement to incentive pay."
1.9.5,,Ensures the Manpower MPA Management System (M4S) is updated for the ANG to be  reimbursed for AGR’s applicable Title 10 active duty tour(s). It is imperative from a fiscal  perspective to ensure reimbursement for appropriations to be consistent with the purpose of  the duty in accordance with 31 USC § 1301(a).   12  ANGI36-101  21 APRIL 2022
1.10,,Medical Group (MDG).
1.10.1,,"Coordinates with the State Air Surgeon (SAS) or delegated Flight Surgeon/Provider  and forwards the AGR-entry medical package for certification/approval. AGR accession  packages requiring medical waiver considerations must be coordinated with the HRO and Joint  Force Headquarters (JFHQ) prior to submission to NGB/SGPS for review and consideration  in accordance with DAFMAN 48-123, Medical Examinations and Standards. Performs and  schedules Individual Medical Readiness components in accordance with AFI 10-250,  Individual Medical Readiness."
1.10.2,,"Monitors periodic physical examination/PHA requirements and takes appropriate  action to ensure AGR requirements are met within the established time frame and fully  coordinated with the HRO in accordance with AFI 48-170, Periodic Health Assessment, and  DAFMAN 48-123."
1.10.3,,"Briefs newly assessed AGR Airmen on proper procedures to follow to obtain routine  and/or emergency medical care, the location of the servicing active duty installation Medical  Treatment Facilities (MTFs), Veterans Health Administration (VHA) Hospitals or Public  Health Service (PHS) facilities and briefs Airmen on sick call procedures in accordance with  AFMAN 41-210, Tricare Operations and Patient Administration."
1.10.4,,"Monitors personnel being processed through Air Force medical channels for possible  MEB or PEB, LOD, and/or placement on TDRL. All MEB, PEB, LOD, and TDRL actions  will be coordinated with the FSS and HRO for review and any necessary action(s) required in  accordance with AFI 36-3212, Physical Evaluation for Retention, Retirement, and Separation,  DAFI 36-2910, Line of Duty (Misconduct) Determination, Medical Continuation (MEDCON),  and Incapacitation (INCAP) Pay, and/or AFMAN 41-210. Coordinates with HRO, AGR  Manager, and FSS on all required medical actions, to include Duty Limiting AF Form 469,  Duty Limiting Conditions impacting AGR’s status."
1.11,,AGR Airmen.
1.11.1,,Responsible for maintaining a current security clearance; acquiring and/or maintaining  the skill level commensurate with assigned grade and Air Force Specialty Code (AFSC);  completing necessary Individual Medical Readiness requirements; maintaining physical  fitness standards and completing Professional Military Development (PMD) commensurate  with grade.
1.11.2,,Enlisted Airmen who accept a demotion as a condition of employment must ensure  their military personnel and pay record reflect the correct grade.
1.11.3,,"During natural disasters or national emergencies, AGRs shall follow locally  established procedures, or when directed the Air Force Personnel Accountability and  Assessment System (AFPAAS) for displaced personnel to contact their leadership, keep them  informed of their location and account for family members."
1.12,,Total Force Service Centers (TFSCs).
1.12.1,,"TFSC Joint Base San Antonio (JBSA)-Randolph, Texas will accomplish the official  DD Form 214 for AGR members as identified in paragraph 2.1.1. of AFI 36-3202.   ANGI36-101  21 APRIL 2022  13"
1.12.2,,"TFSC Air Reserve Personnel Center, Buckley Air Force Base, Colorado (ARPC) will  accomplish the official DD Form 214 for personnel under the prescribed circumstances  identified in paragraph 2.1.2. of AFI 36-3202.   14  ANGI36-101  21 APRIL 2022  Chapter 2  GENERAL POLICIES AND PROCEDURES"
2.1,,Waivers.
2.1.1,,"NGB/A1PP is the waiver authority for all non-tiered requirements contained in this  publication not identified as “(T-0).”  As such, all waiver requests must be fully documented  on an AF Form 679 and coordinated through command channels to the HRO and TAG or CG  prior to submission to NGB/A1PP."
2.1.2,,States may submit completed requests to the NGB/A1PP organizational mailbox at  ngb.a1.a1pp.org@us.af.mil. Requests must be fully justified and include all necessary  background information.
2.1.3,,"The AGR Program Manager in NGB/A1PP will only grant waivers when warranted,  due to circumstances beyond the states’ control, and in accordance with current law."
2.2,,"AGR Program.  The AGR Program consists of AGR Full-Time Support (FTS) personnel  who are responsible for assisting in the organization, administration, recruitment, instruction or  training of ANG personnel and assigned primarily against mobility positions."
2.2.1,,"In accordance with DoDI 1205.18 after the initial six-year period, the AGR Program is  administered as a career program that may lead to a regular retirement after attaining the  required years of TAFMS."
2.2.1.1,,"A probationary period shall not exceed six years (reference paragraph 6.2). With  the HRO’s concurrence, commanders may elect to extend an AGR member’s probationary  period in any increment up to six years. The HRO/AGR Manager will maintain a roster of  all probationary AGR members to ensure appropriate force management decisions are  communicated in required timeframes. Continuation beyond the initial or extended  probationary period or service in AGR status for more than six years constitutes retention  (career status) and shall require subsequent management under a career program.  Probationary tours must be a minimum of one year."
2.2.1.2,,"Career retention and advancement will be dependent on existing force  requirements and the needs of the unit, state, and ANG. Applicants for the AGR program  should be able to complete 20 years of total active federal military service (TAFMS) prior  to reaching mandatory separation. See Paragraph 5.10 for those Airmen unable to attain  20 years TAFMS."
2.2.2,,"AGR personnel are counted against authorized ANG end-strength for Airmen on full- time National Guard duty as authorized by Congress in accordance with 10 USC § 115.  Additionally, AGR personnel are counted against congressional authorizations for the  controlled grades of E-8, E-9, O-4, O-5, and O-6 in accordance with 10 USC § 12011 (officers)  and 10 USC § 12012 (enlisted)."
2.2.3,,"By law, Airmen performing support to Counter Drug activities are authorized and  funded under 32 USC § 112. AGR members authorized and funded under 32 USC § 502(f) are  not authorized to perform Counter Drug operations (T-0).   ANGI36-101  21 APRIL 2022  15"
2.3,,"Equal Opportunity.  The management of AGRs will be free of discrimination based upon  race, color, religion, sex, national origin and age in accordance with DAFI 36-2710, Equal  Opportunity Program."
2.3.1,,The AGR program will support military equal opportunity and affirmative employment  efforts to achieve an AGR work force that reflects national diversity.
2.3.2,,"The objective is to ensure fair, equitable and nondiscriminatory treatment of all, based  on merit, fitness, capability and potential."
2.4,,"Standards of Conduct/Political Activity.  DoDD 5500.7, Standards of Conduct, DoDD  1344.10, Political Activities by Members of the Armed Forces and AFI 51-508, Political Activities,  Free Speech and Freedom of Assembly of Air Force Personnel are all applicable to AGR members.  HRO/AGR Managers must ensure AGR members are briefed annually."
2.5,,Military Jurisdiction/Discipline.  All AGR personnel are subject to State Military Code  jurisdiction while in a Title 32 status.
2.5.1,,"Applicants for AGR positions must be advised on the AGR application they are subject  to state military justice procedures and statutes while in Title 32 status. When in Federal status  under Title 10, the Uniform Code of Military Justice (UCMJ) applies."
2.5.2,,"All records of adverse administrative action (letters of counseling, admonishment, and  reprimand) will be maintained by the unit in accordance with AFI 36-2907, Adverse  Administrative Actions. When appropriate, notify the HRO when taking disciplinary action.  These documents must be destroyed when indicated in the memorandum, upon separation of  the Airman, or in accordance with governing instructions."
2.6,,Off-Duty Employment.  Commanders and the HRO must ensure any off-duty employment  (both part-time and full-time) of AGR Airmen is in compliance with the provisions of DoDD  5500.7.
2.6.1,,"Commanders and Air AGR Managers must maintain a copy of written approval for all  AGR Airmen on AF Form 3902, Application and Approval for Off-Duty Employment."
2.6.2,,"Mission needs must be the guiding force behind approval of outside employment. Due  to possible conflicts of interest, AGR Airmen must not be employed as state civilian employees  (temporary or permanent)."
2.7,,Substance Abuse.  Illegal or improper substance abuse by ANG Airmen is a serious breach  of discipline and is not compatible with service in the ANG.
2.7.1,,"Drug cases must receive prompt evaluation and disposition. Process Airmen for  discharge for misconduct based on drug abuse since drug abuse is not compatible with Air  Force Standards in accordance with AFI 36-3209, Separation and Retirement Procedures for  ANG and Air Force Reserve Members. Note: The ANG does not have the resources required  to implement a drug rehabilitation program."
2.7.2,,"Alcoholism is recognized as a progressive, non-compensable disease that affects the  entire family and is both preventable and treatable. It is ANG policy to both help prevent  alcohol abuse and alcoholism among its personnel and try restoring Airmen with problems  attributable to alcohol abuse to full-duty status. If this cannot be accomplished, administrative  separation is appropriate.   16  ANGI36-101  21 APRIL 2022"
2.8,,Uniformed Services Employment and Reemployment Rights Act (USERRA)  Restoration Rights.  Employees who separate from full-time civilian employment (to include  military technicians) to enter the AGR program have restoration rights according to the provisions  identified in the 38 USC § 4301.
2.8.1,,The Secretary of the Air Force shall determine those periods of active duty designated  as a critical mission or critical requirement that could be exempt from the five-year cumulative  service limit. This authority shall not be used to grant exemptions to avoid the cumulative five- year service limit established by law or to extend Airmen on repeated AGR tours. Orders to  active duty or orders retaining Airmen on active duty must specify the duty purpose and  authority for those orders.
2.8.2,,"Military technicians who separate from technician employment to enter the AGR  program or accept an ANG Title 10 Statutory Tour have restoration rights in accordance with  TPR 300, Technician Personnel Regulation. Individuals will not be restored to military  technician status solely to gain entitlement to a new period of restoration rights or to establish  a new high 3 years of income for federal civil service retirement computation. Exceptions to  this policy will not be considered. NGB/A1M will not allocate additional resources to  accommodate restoration to technician status."
2.8.3,,"ANG policy requires restoration of AGR Airmen to their prior or a comparable position.  AGR personnel who enter an ANG Title 10 Statutory Tour, assigned to the NGB UMD (e.g.,  10 USC § 10211, 10305, 12402, and 12310) have restoration rights, not to exceed five years,  to the state from which they entered their initial Statutory Tour. Individuals will not be restored  to AGR status solely to gain entitlement to a new period of restoration rights. Waivers to this  policy will not be considered. Each AGR Airman who enters an ANG Title 10 Statutory Tour  must be informed in writing and acknowledge such notice that the individual is entitled to  revert to the same military grade held prior to the Statutory Tour assignment. Personnel  promoted while on Statutory Tour may be placed into the Priority Placement Program (PPP)  as outlined in Chapter 10 if a full-time UMD position is not available to support their current  military grade. When the Airman in question is serving in a controlled grade, the state must  accommodate the Airman within his/her current controlled grade allocations. NGB/A1 will  neither allocate additional controlled grades to accommodate the Airmen returning to state  control nor allocate additional resources to accommodate restoration to AGR status."
2.8.3.1,,"When filling positions vacated by AGR personnel entering a Title 10 ANG  Statutory Tour, job announcements may indicate the position is OTOT until such time as  the departing individual is either restored or the restoration period expires. The HRO must  ensure an AGR authorization is made available for AGR members returning to their state  of affiliation."
2.8.3.2,,"Active Duty Operational Support (ADOS) Opportunities: With TAG or CG  concurrence, the HRO may authorize the restoration of an AGR member to his/her  previously held AGR position or a position for which the Airman is fully qualified upon  completion of an ADOS tour. Restoration to an AGR position is based on mission needs  and the best interest of the ANG, and it offers developmental opportunities to Airmen on a  case-by-case basis."
2.8.3.3,,"AGR Airman authorized for ADOS opportunities and selected for restoration must  have their AGR order curtailed to coincide with the start of the ADOS order. While   ANGI36-101  21 APRIL 2022  17  performing an ADOS tour, the member must be placed in a RIC “0028” (DSG Officer) or  “0128” (DSG Enlisted) position. Contact NGB/A1PP if excess or overgrade assignment is  necessary."
2.8.3.4,,UMD positions vacated by an incumbent AGR for the purpose of performing an  ADOS tour may be backfilled utilizing an occasional tour AGR for the duration of the  absence of the incumbent AGR.
2.8.4,,TAG or CG may authorize the retention or restoration of Airmen with more than 20  years TAFMS. Restoration rights do not automatically apply to these Airmen.   18  ANGI36-101  21 APRIL 2022  Chapter 3  AGR BENEFITS AND ENTITLEMENTS
3.1,,"Benefits and Entitlements for AGR Personnel.  AGR personnel and their family members  are entitled to most benefits provided by law to personnel on active duty in Federal service  However, AGR service under 32 USC § 502(f) may not be considered ""qualifying service"" by the  Veterans' Benefits Administration (VBA) for certain VBA benefits."
3.2,,Aviation Bonus (AVB) Program.  AGRs may be eligible for AVB based on current  NGB/A1 fiscal year AVB policy. AGR members should contact the AVB coordinator appointed  by their wing commander for specific eligibility requirements.
3.3,,"Clothing Allowance.  The Air Force provides certain clothing allowances to officers and  enlisted Airmen. Eligibility criteria and amounts are found in the Department of Defense (DoD)  7000.14-R, Department of Defense Financial Management Regulation (DoD FMR), Volume 7A,  Military Pay Policy – Active Duty and Reserve Pay, Chapter 29, and AFI 36-3012, Military  Entitlements, and are paid to the Airman. Some allowances are provided to all enlisted Airmen,  while others are provided on an as-needed basis. For specific entitlement information, see DoD  7000.14-R and AFMAN 65-116 V1, Defense Joint Military Pay System Active Component  (DJMSAC) Financial Management Flight (FMF) Procedures, Chapter 33."
3.4,,Education Services.  AGR members may be eligible for various educational benefits and  services. This list is not meant to be comprehensive and each AGR Airman should contact his/her  state VA office and their FSS Force Development Office.
3.4.1,,"Montgomery GI Bill-Active Duty. An AGR may be eligible as a veteran or service  member, if they entered active duty for the first time after June 30, 1985, served continuously  for three years, and have not previously declined in writing upon entry into active duty. Refer  to https://www.benefits.va.gov under Education & Training. Airmen should contact their  Retention Office Manager (ROM) for more details."
3.4.2,,Tuition Assistance (TA). AGRs are eligible to receive TA for college through their FSS  Force Development Office.
