section_number,level,parent_number,ancestry,section_title,content
6.10,2,6,['6'],Change of Volunteer Status/Request for Assignment Cancellation after PCS  Selection...................................................................................................................   110   DAFI36-2110  9 AUGUST 2024  5,
6.11,2,6,['6'],Assignment Deferment and Availability. ................................................................   110,
6.12,2,6,['6'],Assignment Limitation Code. ..................................................................................   119,
6.13,2,6,['6'],Non-Career Officers and First-Term Airmen or Guardians. ....................................   120,
6.14,2,6,['6'],Officers Not Selected for Promotion. ......................................................................   121,
6.15,2,6,['6'],Utilization Standards and Assignment of Rated Officers. .......................................   122,
6.16,2,6,['6'],Assignment of Former Officers. ..............................................................................   123,
6.17,2,6,['6'],First Assignment after Commissioning (From Enlisted Status). .............................   123,
6.18,2,6,['6'],Pregnant Service Member. .......................................................................................   124,
6.19,2,6,['6'],Pregnant Civilian Spouse. ........................................................................................   125,
6.20,2,6,['6'],Assignment Quality Control. ...................................................................................   126,
6.21,2,6,['6'],Reporting of Disqualified Officers/Enlisted and Officers Eliminated from Flying  or Technical Training. ..............................................................................................   130,
6.22,2,6,['6'],Assignment Preferences. ..........................................................................................   131,
6.23,2,6,['6'],Assignment Selection Date.  Table 6.7 ....................................................................   133,
6.24,2,6,['6'],PCS Notification. .....................................................................................................   134,
6.25,2,6,['6'],Personnel Processing Codes (PPCs). .......................................................................   139,
6.26,2,6,['6'],Security Access Requirements for PCS. ..................................................................   139,
6.27,2,6,['6'],Active-Duty Service Commitment. .........................................................................   140,
6.28,2,6,['6'],Retainability. ............................................................................................................   141,
6.29,2,6,['6'],Seven Day Option. ...................................................................................................   151,
6.30,2,6,['6'],Change in Assignment or Assignment Data. ...........................................................   162,
6.31,2,6,['6'],Projected Departure Date and Port Call Date. .........................................................   163,
6.32,2,6,['6'],Report Not Later Than Date (RNLTD)/Report Not Earlier Than Date (RNETD). .   165,
6.33,2,6,['6'],Reclama of Assignment. ..........................................................................................   167,
6.34,2,6,['6'],PCS Cancellation. ....................................................................................................   167,
6.35,2,6,['6'],Diversion of a Member EnRoute PCS. ....................................................................   168,
6.36,2,6,['6'],PCS Orders. .............................................................................................................   169,
6.37,2,6,['6'],PCS Orders in Hand Minimums. .............................................................................   169,
6.38,2,6,['6'],Assignment Action Number (AAN). .......................................................................   170,
6.39,2,6,['6'],PCS Cost Identifier Code. ........................................................................................   171,
6.40,2,6,['6'],No-Cost (No Allowance) Moves. ............................................................................   171,
6.41,2,6,['6'],Low-Cost PCS. ........................................................................................................   172,
6.42,2,6,['6'],PCS Allowances. .....................................................................................................   174   6  DAFI36-2110  9 AUGUST 2024,
6.43,2,6,['6'],Air Travel of Members. ...........................................................................................   174,
6.44,2,6,['6'],"Second PCS and Second Dislocation Allowance, Same Fiscal Year (FY). .............   174",
6.45,2,6,['6'],Overage and Surplus Management. .........................................................................   176,
6.46,2,6,['6'],Enlisted Non-career Aviators and Operational Support Flyers (RegAF and ARC  only). ........................................................................................................................   181,
6.47,2,6,['6'],Officer Mandatory Utilization Requirement. ...........................................................   182,
6.48,2,6,['6'],Officer Duty Changes (Lieutenant Colonel and below). .........................................   183,
6.49,2,6,['6'],Advanced Academic Degree Assignment (Officers). ..............................................   184,
6.50,2,6,['6'],Nonrated Line (NRL) Officer Crossflow Program. .................................................   185,
6.51,2,6,['6'],Contingency Deployment Assignment Consideration/Contingency Deployment  Home Station Assignment Deferment. ....................................................................   186,
6.52,2,6,['6'],Controlled Duty Assignment. ..................................................................................   186,
6.53,2,6,['6'],Relieved Commanders. ............................................................................................   187,
6.54,2,6,['6'],Threatened Person Assignment. ...............................................................................   187,
6.55,2,6,['6'],Officers Desiring to Recore. ....................................................................................   189,
6.56,2,6,['6'],"Joint Qualification System (JQS). ............................................................................   189  Table 6.1.  Time-on-Station Requirements. ...............................................................................   191  Table 6.2.  Priority for Overseas Short Tour Selection. .............................................................   195  Table 6.3.  Priority for Overseas Long Tour Selection. .............................................................   196  Table 6.4.  PCS Retainability Requirements. .............................................................................   198  Table 6.5.  Enlisted Member Retainability Suspense Delay. .....................................................   200  Table 6.6.  Separation and Retirement Date Minimums for Overseas PCS Selection. ..............   202  Table 6.7.  Determining Assignment Selection Date. ................................................................   205  Table 6.8.  Seven-Day Option Separation and Retirement Dates for CONUS Based  Members. .................................................................................................................   207  Table 6.9.  De-Conflicting PCS Assignment and Deployment Taskings. .................................   220  Table 6.10.  Determining Projected Departure Date and RNLTD. ..............................................   222  Table 6.11.  Officer Mandatory Utilization Requirements. .........................................................   223  Chapter 7—REGAF AND USAF EAD, AND USSF OVERSEAS DUTY    224",
7.1,2,7,['7'],Overseas General Information. ................................................................................   224,
7.2,2,7,['7'],Overseas Tour Lengths. ...........................................................................................   224,
7.3,2,7,['7'],Credit for Overseas Service. ....................................................................................   231,
7.4,2,7,['7'],Overseas Duty Selection Date (ODSD) and Short Tour Return Date. ....................   233,
7.5,2,7,['7'],Date Eligible for Return from overseas (DEROS) Management. ............................   235   DAFI36-2110  9 AUGUST 2024  7,
7.6,2,7,['7'],Involuntary DEROS Extension. ...............................................................................   248,
7.7,2,7,['7'],"Emergency Leave, Members Assigned Overseas. ...................................................   250",
7.8,2,7,['7'],Tour Proration Based on PCS or Tour Length Change. ..........................................   251,
7.9,2,7,['7'],Medal of Honor Recipients and Candidates. ...........................................................   252,
7.10,2,7,['7'],Citizenship Considerations (Non-U.S. Citizens and Dual Citizenship). ..................   252,
7.11,2,7,['7'],"Overseas Tour Election, Command Sponsorship, Individually Sponsored  Dependents, Acquired Dependents, and Dependents OS. .......................................   254  Table 7.1.  Determining Type of Overseas Tour. ......................................................................   264  Table 7.2.  Tour Election Changes Prior to Departing Losing Base. .........................................   266  Table 7.3.  Tour Election Changes After Arrival Overseas. ......................................................   267  Table 7.4.  Award and Adjustment of DEROS. .........................................................................   268  Table 7.5.  Award or Adjustment of ODSD and Short Tour Return Date Based on PCS. ........   270  Table 7.6.  Award or Adjustment of ODSD and Short Tour Return Date for TDY. .................   273  Table 7.7.  Voluntary Extension of Overseas Tour. ...................................................................   276  Table 7.8.  Curtailment of Overseas Tours. ...............................................................................   277  Table 7.9.  Involuntary Extension of Overseas Tour.  ...............................................................   280  Table 7.10.  Overseas Tour Proration. .........................................................................................   281  Table 7.11.  Assignment Priority Groups For Members Completing Overseas or CONUS  Stabilized Tours (AAC 50). .....................................................................................   282  Chapter 8—REGAF, USAF EAD, AND USSF 365-DAY EXTENDED DEPLOYMENTS    285",
8.1,2,8,['8'],General Information. ................................................................................................   285,
8.2,2,8,['8'],Eligibility. ................................................................................................................   285,
8.3,2,8,['8'],Ineligibility.  Members ............................................................................................   286,
8.4,2,8,['8'],Application Procedures. ...........................................................................................   286,
8.5,2,8,['8'],Selection Procedures. ...............................................................................................   286,
8.6,2,8,['8'],Notifications. ............................................................................................................   288,
8.7,2,8,['8'],365-Day Extended Deployment and Air Force/Space Force Deployment  De- confliction. ...............................................................................................................   288,
8.8,2,8,['8'],Declinations. ............................................................................................................   289,
8.9,2,8,['8'],Extended Deployment Advance Assignment/Assignment Deferment Program  Incentives. ................................................................................................................   290,
8.10,2,8,['8'],Short Tour Credit. ....................................................................................................   290,
8.11,2,8,['8'],Joint Duty Assignment Credit. .................................................................................   290,
8.12,2,8,['8'],Post Deployment Stand-Down Period. ....................................................................   290   8  DAFI36-2110  9 AUGUST 2024,
8.13,2,8,['8'],Post Deployment Deployment-to-Dwell (D2D) Ratio. ............................................   290,
8.14,2,8,['8'],Training. ...................................................................................................................   290,
8.15,2,8,['8'],Change to Ordered Start or End Dates (Extensions). ...............................................   290,
8.16,2,8,['8'],Functional Elements. ...............................................................................................   291  Table 8.1.  De-Conflicting 365-day Extended Deployment and Air Force or Space Force  Deployments. ...........................................................................................................   291  Table 8.2.  365-day Extended Deployment Declination/3-Day Option. ....................................   292  Chapter 9—AIR FORCE RESERVE (AFR) SELECTED RESERVE ASSIGNMENTS  THROUGH THE GRADE OF COLONEL    301  Section 9A—Overall Policies and Responsibilities for Ready Reserve Assignments.    301,
9.1,2,9,['9'],Assignments and Reassignments within the Ready Reserve. ..................................   301,
9.2,2,9,['9'],Assignment and Waiver Authorities. .......................................................................   303,
9.3,2,9,['9'],Relocation (Unit/IR). ...............................................................................................   303,
9.4,2,9,['9'],Reserve Assignment Branch (ARPC/DPAAA). ......................................................   304,
9.5,2,9,['9'],IR Assignments. .......................................................................................................   305,
9.6,2,9,['9'],Assignment Priorities. ..............................................................................................   305,
9.7,2,9,['9'],"Undergrades, Overgrades and Overages. .................................................................   305",
9.8,2,9,['9'],AFSC Criteria. .........................................................................................................   312,
9.9,2,9,['9'],Changes in a Member’s Medical Profile. ................................................................   313  Section 9B—Assignments for Specific Kinds of Positions.    315,
9.10,2,9,['9'],Rated Assignments. .................................................................................................   315,
9.11,2,9,['9'],"Professional Specialty Assignments (Chaplain, Legal, International Affairs and  Medical). ..................................................................................................................   316",
9.12,2,9,['9'],AFR CMSgt Assignments. ......................................................................................   319,
9.13,2,9,['9'],Overseas Assignments. ............................................................................................   321,
9.14,2,9,['9'],AFR Unit Commander Assignments. ......................................................................   321,
9.15,2,9,['9'],ART Assignments. ...................................................................................................   321  Section 9C—Assignments for Individual Circumstances.    322,
9.16,2,9,['9'],Individuals in Key (or Emergency/Mission-Essential) Civilian Positions. .............   322,
9.17,2,9,['9'],"AFR Key, Command and Joint Duty Assignment List (JDAL) Assignments. ........   323",
9.18,2,9,['9'],AFR Key and Strategic Assignments (AFR Enlisted). ............................................   324,
9.19,2,9,['9'],Assignments for Officers Selected to Attend PME In-Residence. ..........................   325,
9.20,2,9,['9'],Assignment of Twice Deferred Officers. .................................................................   325   DAFI36-2110  9 AUGUST 2024  9,
9.21,2,9,['9'],"Assignment of RegAF Retired Members to IR, Reserve Units, or ART positions..   326",
9.22,2,9,['9'],Assignment of Members for Unsatisfactory Participation. ......................................   328,
9.23,2,9,['9'],Assignment of Members Involuntarily Reassigned for Failure to Meet the  Requirements of the Air Force Fitness Program. .....................................................   329  Section 9D—Assignment Processing.    329,
9.24,2,9,['9'],DAF 1288. ...............................................................................................................   329,
9.25,2,9,['9'],Voluntary Assignments. ...........................................................................................   329,
9.26,2,9,['9'],Accession Assignment Actions. ...............................................................................   330,
9.27,2,9,['9'],IR Applications. .......................................................................................................   330,
9.28,2,9,['9'],AFR CFM Applications. ..........................................................................................   331,
9.29,2,9,['9'],Reserve Vacancies. ..................................................................................................   331  Table 9.1.  Assignment and Waiver Authorities. .......................................................................   332  Table 9.2.  Assignment Restrictions. .........................................................................................   332  Table 9.3.  Grade Considerations/UMD Codes. ........................................................................   337  Table 9.4.  Overage Codes. ........................................................................................................   341  Chapter 10—AFR SELECTED RESERVE GENERAL OFFICER ASSIGNMENTS    344,
10.1,2,10,['10'],Assignment Approval. .............................................................................................   344,
10.2,2,10,['10'],The Reserve Brigadier General Qualification Board. ..............................................   344,
10.3,2,10,['10'],Initial Assignment to a General Officer Position. ....................................................   347,
10.4,2,10,['10'],"Reassignment Out of a General Officer Position. ....................................................   347  Chapter 11—AFR INDIVIDUAL READY RESERVE (IRR), REASSIGNMENTS AND  TEMPORARY RELEASES    348",
11.1,2,11,['11'],Propriety of Assignments. ........................................................................................   348,
11.2,2,11,['11'],Reassignment for Medical Reasons. ........................................................................   349,
11.3,2,11,['11'],Responsibilities for Medical Reassignment from the Ready to the Standby  Reserve.....................................................................................................................   349,
11.4,2,11,['11'],PALACE CHASE. ...................................................................................................   351,
11.5,2,11,['11'],Involuntary Reassignments to ARPC. .....................................................................   351,
11.6,2,11,['11'],Voluntary Reassignments Within or from the Ready Reserve. ...............................   354,
11.7,2,11,['11'],Temporary Release from Participating in Reserve Training. ..................................   354  Chapter 12—IRR AND STANDBY ASSIGNMENTS    356,
12.1,2,12,['12'],Military Service Obligation (MSO). ........................................................................   356,
12.2,2,12,['12'],Individuals Reassigned to the IRR and Standby Reserve. .......................................   356   10  DAFI36-2110  9 AUGUST 2024,
12.3,2,12,['12'],Classification of IRR Sections. ................................................................................   356,
12.4,2,12,['12'],Classification of Standby Reserve Sections. ............................................................   359  Table 12.1.  Military Service Obligation (MSO). ........................................................................   361  Table 12.2.  Reassignments to the Ready Reserve and Standby Reserve (Use Rule 1 if the  reason for reassignment is not precisely defined in another rule). ...........................   363  Table 12.3.  Involuntary Reassignments to ARPC. .....................................................................   371  Chapter 13—ANG ASSIGNMENT AUTHORITY    378,
13.1,2,13,['13'],Authority. .................................................................................................................   378,
13.2,2,13,['13'],Purpose and Responsibilities. ..................................................................................   378  Chapter 14—ANG ASSIGNMENT INSTRUCTIONS AND PROGRAMS    379,
14.1,2,14,['14'],General Instruction. .................................................................................................   379,
14.2,2,14,['14'],UMD Assignment. ...................................................................................................   379,
14.3,2,14,['14'],Special Category Assignments. ...............................................................................   379,
14.4,2,14,['14'],Grade Manning Levels for Enlisted Personnel. .......................................................   387,
14.5,2,14,['14'],"Retention of Members Released from ANG Statutory Tour, Title 10 United  States Code (USC). ..................................................................................................   388  Chapter 15—ANG REASSIGNMENT PROCEDURES    389",
15.1,2,15,['15'],Reassignment of Personnel Serviced by the FSS or Between Units Located in the  Same State................................................................................................................   389,
15.2,2,15,['15'],Reassignment of members Subject to Demotion. ....................................................   389,
15.3,2,15,['15'],Retention of Persons Employed by Foreign Governments. .....................................   389,
15.4,2,15,['15'],Command Chief Master Sergeant Tour Completion. ..............................................   389  Chapter 16—ANG OVERGRADE AND EXCESS ASSIGNMENT    390,
16.1,2,16,['16'],Assignment as Overgrade or Excess. .......................................................................   390,
16.2,2,16,['16'],Excess Due to NGB Directed Realignment. ............................................................   392,
16.3,2,16,['16'],Retention in an Overgrade Status. ...........................................................................   394  Table 16.1.  Overgrade/Excess Approval Authority. ...................................................................   396  Table 16.2.  Excess Codes for Officer and Enlisted. ...................................................................   397  Table 16.3.  Overgrade Codes for Officer and Enlisted. ..............................................................   398  Chapter 17—ADMINISTRATION OF SANCTUARY IN THE AIR RESERVE  COMPONENT    400,
17.1,2,17,['17'],Purpose. ...................................................................................................................   400,
17.2,2,17,['17'],Definition. ................................................................................................................   400   DAFI36-2110  9 AUGUST 2024  11,
17.3,2,17,['17'],Guidance. .................................................................................................................   400,
17.4,2,17,['17'],Management of Active Duty Sanctuary. ..................................................................   400,
17.5,2,17,['17'],"Air Reserve Component Members Performing Active Duty for Operational  Support, Reserve Personnel Appropriation, Military Personnel Appropriation,  Active Duty for Training, and ANG Special Training. ............................................   402",
17.6,2,17,['17'],Sanctuary Processes. ................................................................................................   403,
17.7,2,17,['17'],Continuation for Medical Evaluation. ......................................................................   403,
17.8,2,17,['17'],Processing Active Duty Sanctuary Waivers. ...........................................................   404,
17.9,2,17,['17'],Final Tour Approval. ...............................................................................................   404,
17.10,2,17,['17'],Demobilization and Active Duty Sanctuary. ...........................................................   405,
17.11,2,17,['17'],Reassignment to RegAF. .........................................................................................   406,
17.12,2,17,['17'],Options at 20 Years Total Active Federal Military Service (TAFMS) ....................   406,
17.13,2,17,['17'],Reserve Sanctuary. ...................................................................................................   406  Chapter 18—ENLISTED AIDE SPECIAL DUTY IDENTIFIER (SDI) MANAGEMENT    408,
18.1,2,18,['18'],Program Roles and Responsibilities. .......................................................................   408,
18.2,2,18,['18'],Enlisted Aide Special Duty Identifier (SDI) Management. .....................................   410,
18.3,2,18,['18'],Enlisted Aide Duties and Responsibilities. ..............................................................   412,
18.4,2,18,['18'],Clothing Entitlements and Uniform Guidance.........................................................   413,
18.5,2,18,['18'],Enlisted Aide Recognition. ......................................................................................   416  Attachment 1—GLOSSARY OF REFERENCES AND SUPPORTING INFORMATION    417  Attachment 2—BASE OF PREFERENCE PROGRAM (REGAF AND USSF ENLISTED  ONLY)    450  Attachment 3—HOME-BASING (HB) AND FOLLOW-ON (FO) ASSIGNMENT  PROGRAMS (REGAF AND USSF ONLY)    455  Attachment 4—HOSTILE FIRE AND IMMINENT DANGER AREA REASSIGNMENT  OR DEFERMENT    462  Attachment 5—SOLE SURVIVING SON OR DAUGHTER ASSIGNMENT  RESTRICTION (REGAF AND USSF ONLY)    464  Attachment 6—AIRCREW FAMILY MEMBER ASSIGNMENT    466  Attachment 7—CONTINGENCY DEPLOYMENT ASSIGNMENT CONSIDERATION  AND CONTINGENCY DEPLOYMENT HOME STATION  ASSIGNMENT DEFERMENT PROGRAM (REGAF AND USSF ONLY)   467       12  DAFI36-2110  9 AUGUST 2024  Attachment 8—ASSIGNMENT OF MILITARY COUPLES – JOIN SPOUSE  ASSIGNMENT PROGRAM (REGAF AND USSF ONLY)    469  Attachment 9—AIR FORCE OFFICER ASSIGNMENT SYSTEM (OFFICERS - LT COL  AND BELOW) (REGAF ONLY)    478  Attachment 10—SPECIAL DUTY ASSIGNMENT – EQUAL-PLUS (ENLISTED ONLY)   481  Attachment 11—VOLUNTARY STABILIZED BASE ASSIGNMENT PROGRAM  (VSBAP) (REGAF ENLISTED ONLY)    488  Attachment 12—OVERSEAS TOUR EXTENSION INCENTIVE PROGRAM (OTEIP)  (REGAF AND USSF ENLISTED ONLY)    490  Attachment 13—ENLISTED QUARTERLY ASSIGNMENTS LISTING (EQUAL) AND  CONUS MANDATORY MOVER (CMM) (REGAF ONLY)    494  Attachment 14—365-DAY EXTENDED DEPLOYMENT ADVANCE  ASSIGNMENT/ASSIGNMENT DEFERMENT INCENTIVE PROGRAM  (REGAF AND USSF ONLY)    497  Attachment 15—HUMANITARIAN REASSIGNMENT AND DEFERMENT (REGAF  AND USSF ONLY)    499  Attachment 16—ASSIGNMENT OF NON-PRIOR SERVICE PIPELINE STUDENTS  (REGAF AND USSF ENLISTED ONLY)    506  Attachment 17—PCS OF MEMBERS DIRECTED UNDER AUTHORITY OF ANOTHER  PRESCRIBING INSTRUCTION (LIEUTENANT COLONEL AND  BELOW AND ALL ENLISTED)    515  Attachment 18—DIVERSE SLATES FOR KEY DEVELOPMENTAL ASSIGNMENTS    517  Attachment 19—DIVERSE SLATES FOR NON-STATUTORY SELECTION BOARDS  (NOT APPLICABLE TO AFR)    519  Attachment 20—STATEMENT OF UNDERSTANDING - ACTIVE DUTY SANCTUARY  AGREEMENT    521  Attachment 21—WAIVER OF ACTIVE DUTY SANCTUARY (ANG) STATEMENT OF  UNDERSTANDING    522  Attachment 22—ANG CLAIM FOR SANCTUARY PROTECTION    524  Attachment 23—ANG REQUEST TO INVOKE SANCTUARY    525  Attachment 24—ENLISTED DEVELOPMENTAL TEAM / ENLISTED KEY  DEVELOPMENTAL POSITIONS    527       DAFI36-2110  9 AUGUST 2024  13  Attachment 25—SWAP ASSIGNMENT PROGRAM (USAF ENLISTED ONLY)    528  Attachment 26—VOLUNTARY ASSIGNMENTS:  COURT-ORDERED CHILD  CUSTODY PROGRAM (CCCP)(REGAF AND USSF ONLY)    529  Attachment 27—SAMPLE STATEMENT OF UNDERSTANDING (OVERAGE STATUS)  (ARC ONLY)    538     14  DAFI36-2110  9 AUGUST 2024  Chapter 1  OVERVIEW,
1.1,2,1,['1'],"Overview.  This instruction contains the DAF Total Force, authority, guidance, and  procedures to select personnel and directs their temporary or permanent assignment or  reassignment to satisfy national security requirements.  It also contains authority for administration  of sanctuary in the Air Reserve Component and authority for Enlisted Aide Specialty Duty  Identifier management.  This instruction contains five Parts.  The first four Parts provide  component-specific guidance and procedures (see Table 1.1.).  Part 1 includes overall guidance  and procedures that apply to more than one component of the Air Force.  If a paragraph only  applies to a specific Military Service or component, the paragraph will identify the Military Service  or component, i.e., USSF only, RegAF only, AFR only, or ANG only.  Part 5 includes guidance  and procedures on special programs:  Administration of sanctuary in the Air Reserve Component  and Enlisted Aide Special Duty Identifier (SDI) management.  Table 1.1.  Component-Specific Guidance and Procedures.  Part/Chapters  Area of Responsibility  Part 1, Chapters 2 - 4  General Guidance and Procedures (Applies to more than one or  all components [RegAF, USSF, AFR, and ANG])  Part 2, Chapters 5 - 8  RegAF, USAF Extended Active Duty (EAD), and USSF  Part 3, Chapters 9 - 12  AFR  Part 4, Chapters 13 - 16  ANG  Part 5, Chapters 17 - 18  RegAF, USSF, AFR, and ANG",
1.2,2,1,['1'],"Assignment Authority.  The DoD allocates funds, delegates authority and directs policies  for temporary duty (TDY) assignment and permanent change of station (PCS) assignment of  RegAF, USSF, AFR, and ANG military personnel.  The DAF will assign members with the  necessary skills to valid manpower requirements to meet Air Force or Space Force mission  objectives.  PCS may also be ordered to ensure equitable treatment of members.  This instruction  must be cited as the assignment authority only for operational (including rotational), training  (including formal education and professional military education), and force structure assignments.  (T-1) PCS assignment authority cannot be further delegated.       DAFI36-2110  9 AUGUST 2024  15  PART 1 GENERAL POLICIES AND PROCEDURES (APPLIES TO MORE THAN ONE  OR ALL COMPONENTS [REGAF, USSF, AFR, AND ANG])   16  DAFI36-2110  9 AUGUST 2024  Chapter 2  ROLES AND RESPONSIBILITIES",
2.1,2,2,['2'],Roles and Responsibilities.  This chapter describes the overall roles and responsibilities of  assignment actions for the DAF Total Force.  Additional roles and responsibilities unique to the  Military Service or component and the assignment programs may be included and listed within the  respective sections throughout this publication.,
2.2,2,2,['2'],Air Force (RegAF) and Space Force (USSF).,
2.2.1,3,2.2,"['2', '2.2']","Assistant Secretary of the Air Force for Manpower and Reserve Affairs (SAF/MR) will  serve as an agent of the Secretary and provide guidance, direction and oversight for all matters  pertaining to the formulation, review and execution of plans, policies, and budgets addressing  assignments.",
2.2.2,3,2.2,"['2', '2.2']","Deputy Chief of Staff for Manpower, Personnel and Services (AF/A1) and the Deputy  Chief of Space Operations for Human Capital (SF/S1), will serve as the respective functional  authority and is responsible for policy oversight and advisory services related to the Air Force  and Space Force assignment program.",
2.2.3,3,2.2,"['2', '2.2']","Chief of Military Force Policy Division (AF/A1PP) and the Chief of Force Management  (SF/S1PP), will provide respective functional management of the Air Force and Space Force  assignment program and:",
2.2.3.1,4,2.2.3,"['2', '2.2', '2.2.3']","Develop, coordinate, and enforce assignment policy.",
2.2.3.2,4,2.2.3,"['2', '2.2', '2.2.3']",Issue departmental level program guidance to implement assignment policy.,
