Paragraph Number,Matches,Section Number,Section Title,Text
282,1,3.14.3,3.14.3. (ANG Only) Family members must be separated by at least two levels of supervision  within their unit (as defined by their Personnel Accounting Symbol (PAS)). (T-2) This does  not preclude family members from being assigned within a subordinate organization.  Example: a state Command Chief Master Sergeant with a family member assigned within the  state is acceptable as it meets the rule for two levels of supervision between them.,3.14.3. (ANG Only) Family members must be separated by at least two levels of supervision  within their unit (as defined by their Personnel Accounting Symbol (PAS)). (T-2) This does  not preclude family members from being assigned within a subordinate organization.  Example: a state Command Chief Master Sergeant with a family member assigned within the  state is acceptable as it meets the rule for two levels of supervision between them.
284,1,3.14.3.1,"3.14.3.1. Prior to assignment, the unit commander must conclude there is neither a  potential conflict of interest nor the possibility of preferential treatment on the part of either  family member. (T-2) One family member cannot be in another family member’s rating  chain as first or second level rater/reviewer. (T-2) Reference AFI 36-2406, Officer and  Enlisted Evaluations Systems (Reg AF and ARC only) or SpFI 36-2401, Guardian  Evaluations Systems (USSF), when establishing rater/reviewer.","3.14.3.1. Prior to assignment, the unit commander must conclude there is neither a  potential conflict of interest nor the possibility of preferential treatment on the part of either  family member. (T-2) One family member cannot be in another family member’s rating  chain as first or second level rater/reviewer. (T-2) Reference AFI 36-2406, Officer and  Enlisted Evaluations Systems (Reg AF and ARC only) or SpFI 36-2401, Guardian  Evaluations Systems (USSF), when establishing rater/reviewer."
287,1,3.14.3.4,3.14.3.4. A first sergeant at the group level must also meet the requirement of two levels  of supervision between the first sergeant and family member. (T-3),3.14.3.4. A first sergeant at the group level must also meet the requirement of two levels  of supervision between the first sergeant and family member. (T-3)
297,1,3.17.1,"3.17.1. Eligibility Requirements. Members must hold and be qualified in the AFSC, and  regular component retirees are required to be appointed into the ARC. (T-2) Members are also  not eligible for retraining, should be within five years of retiring, and members approved for  assignment in the AFR will be placed initially on a two-year contract with periodic reviews for  continuation unless AFR dictates otherwise. (T-2) Officers cannot have exceeded their  Mandatory Separation Date or age restrictions, and enlisted members cannot have exceeded  their High Year Tenure (HYT) date.","3.17.1. Eligibility Requirements. Members must hold and be qualified in the AFSC, and  regular component retirees are required to be appointed into the ARC. (T-2) Members are also  not eligible for retraining, should be within five years of retiring, and members approved for  assignment in the AFR will be placed initially on a two-year contract with periodic reviews for  continuation unless AFR dictates otherwise. (T-2) Officers cannot have exceeded their  Mandatory Separation Date or age restrictions, and enlisted members cannot have exceeded  their High Year Tenure (HYT) date."
298,1,3.17.2,"3.17.2. Application Process. The member applies by submitting an application package to the  recruiter (AFR/ANG as applicable). An AFR recruiter will forward the application through  the gaining MPF to the unit commander for unit program assignment or the Readiness and  Integration Organization (RIO) Det/CC for the IR portfolio. (T-2) The Career Development  Element or RIO Det/CC will then forward the application through the NAF to Air Reserve  Personnel Center Assignments Division (ARPC/DPAA). (T-2) Requests to assign retired  colonels to Selective Reserve (SelRes) positions must be approved by AF/REG and through  RIO Det 5 for AFRC central managers for their IRs. An ANG recruiter will forward the  application through the gaining FSS and on to National Guard Bureau, Force Management  Branch (NGB/A1PP) after the request package has received an endorsement from The  Adjutant General (TAG), Commanding General (CG) or delegated authority (no lower than  the Director of Staff). (T-2) NGB/A1PP will forward the application through the ANG  Directorate of Manpower, Personnel and Services (NGB/A1) to NGB/CF for final  determination. The application package consists of the following:","3.17.2. Application Process. The member applies by submitting an application package to the  recruiter (AFR/ANG as applicable). An AFR recruiter will forward the application through  the gaining MPF to the unit commander for unit program assignment or the Readiness and  Integration Organization (RIO) Det/CC for the IR portfolio. (T-2) The Career Development  Element or RIO Det/CC will then forward the application through the NAF to Air Reserve  Personnel Center Assignments Division (ARPC/DPAA). (T-2) Requests to assign retired  colonels to Selective Reserve (SelRes) positions must be approved by AF/REG and through  RIO Det 5 for AFRC central managers for their IRs. An ANG recruiter will forward the  application through the gaining FSS and on to National Guard Bureau, Force Management  Branch (NGB/A1PP) after the request package has received an endorsement from The  Adjutant General (TAG), Commanding General (CG) or delegated authority (no lower than  the Director of Staff). (T-2) NGB/A1PP will forward the application through the ANG  Directorate of Manpower, Personnel and Services (NGB/A1) to NGB/CF for final  determination. The application package consists of the following:"
310,1,3.18.1.1,"3.18.1.1. Waivers and exceptions to policy to these provisions require prior approval of  AFPC/DPFXAA (RegAF and USSF), ARPC/DPA (AFR), or NGB/A1 (ANG). The DAF  is committed to meeting the needs of this unique segment of our military community and  must be informed of the special needs of the member’s families. While dependent  parents/parents-in-law are not eligible for EFMP enrollment, member may request a  “courtesy clearance” for Continental United States (CONUS) assignment by contacting the  Special Needs Coordinator in the Military Treatment Facility (MTF).","3.18.1.1. Waivers and exceptions to policy to these provisions require prior approval of  AFPC/DPFXAA (RegAF and USSF), ARPC/DPA (AFR), or NGB/A1 (ANG). The DAF  is committed to meeting the needs of this unique segment of our military community and  must be informed of the special needs of the member’s families. While dependent  parents/parents-in-law are not eligible for EFMP enrollment, member may request a  “courtesy clearance” for Continental United States (CONUS) assignment by contacting the  Special Needs Coordinator in the Military Treatment Facility (MTF)."
311,2,3.18.1.2,"3.18.1.2. All members must be able to respond to any contingency wherever and whenever  called upon to do so. (T-2) The DAF is also committed to equal distribution of overseas  assignments. As a result, permanent or prolonged deferment from reassignment cannot be  considered. If an EFMP reassignment or temporary period of deferment is approved, the  member must thereafter revert to worldwide assignable status. (T-2)","3.18.1.2. All members must be able to respond to any contingency wherever and whenever  called upon to do so. (T-2) The DAF is also committed to equal distribution of overseas  assignments. As a result, permanent or prolonged deferment from reassignment cannot be  considered. If an EFMP reassignment or temporary period of deferment is approved, the  member must thereafter revert to worldwide assignable status. (T-2)"
312,1,3.18.1.3,3.18.1.3. The EFMP reassignment or deferment request must be initiated by the member  concerned. (T-3) A request initiated/submitted by one person on behalf of another is not  accepted. (T-3),3.18.1.3. The EFMP reassignment or deferment request must be initiated by the member  concerned. (T-3) A request initiated/submitted by one person on behalf of another is not  accepted. (T-3)
314,1,3.18.1.5,"3.18.1.5. For RegAF or USSF colonels and below (except those attending initial technical  training), requests must be submitted with supporting documentation via the virtual  Military Personnel Flight (vMPF). (T-2) For Air Force Cols (including Col selects), and","3.18.1.5. For RegAF or USSF colonels and below (except those attending initial technical  training), requests must be submitted with supporting documentation via the virtual  Military Personnel Flight (vMPF). (T-2) For Air Force Cols (including Col selects), and"
317,3,3.18.1.6,"3.18.1.6. RegAF and USSF members desiring EFMP deferment must submit their requests  through vMPF after receiving a Dependent Travel Approved (DTA) Family Member  Travel Screening determination in myVector. (T-2) ARC members desiring EFMP  deferment must submit their requests to their assignment authority prior to volunteering for  an assignment. (T-3) ARC Airmen serving in Title 10 for 30 or more days, desiring EFMP  deferment must submit their requests to their assignment authority prior to volunteering for  an assignment. (T-3)","3.18.1.6. RegAF and USSF members desiring EFMP deferment must submit their requests  through vMPF after receiving a Dependent Travel Approved (DTA) Family Member  Travel Screening determination in myVector. (T-2) ARC members desiring EFMP  deferment must submit their requests to their assignment authority prior to volunteering for  an assignment. (T-3) ARC Airmen serving in Title 10 for 30 or more days, desiring EFMP  deferment must submit their requests to their assignment authority prior to volunteering for  an assignment. (T-3)"
329,3,3.18.3,"3.18.3. Identifying and Reporting EFMP Conditions. Enrollment in the EFMP is mandatory  and requires the identification of all family members requiring long term general medical,  special educational, early intervention and related services, or modified housing. Members  with family members who require general medical, special educational, early intervention and  related services, or modified housing must contact the Special Needs Coordinator in the MTF  for a complete evaluation, assessment, and possible enrollment. (T-3) Likewise, the Special  Needs Coordinator must be advised immediately following the identification of a family  member who has a long-term condition requiring general medical, special educational, early  intervention and related services, or modified housing. (T-3) The DAF is committed to meeting  the needs of this unique segment of our military community and must be informed of the  special needs of the member’s families. While dependent parents/parents-in-law are not  eligible for EFMP enrollment, member may request a “courtesy clearance” for CONUS  assignment by contacting the Special Needs Coordinator in the MTF.","3.18.3. Identifying and Reporting EFMP Conditions. Enrollment in the EFMP is mandatory  and requires the identification of all family members requiring long term general medical,  special educational, early intervention and related services, or modified housing. Members  with family members who require general medical, special educational, early intervention and  related services, or modified housing must contact the Special Needs Coordinator in the MTF  for a complete evaluation, assessment, and possible enrollment. (T-3) Likewise, the Special  Needs Coordinator must be advised immediately following the identification of a family  member who has a long-term condition requiring general medical, special educational, early  intervention and related services, or modified housing. (T-3) The DAF is committed to meeting  the needs of this unique segment of our military community and must be informed of the  special needs of the member’s families. While dependent parents/parents-in-law are not  eligible for EFMP enrollment, member may request a “courtesy clearance” for CONUS  assignment by contacting the Special Needs Coordinator in the MTF."
330,2,3.18.3.1,"3.18.3.1. Should EFMP conditions arise after PCS notification or other event notification,  the member must report them to the Special Needs Coordinator and MPF immediately. If  appropriate, the member must submit their request to AFPC/DPFXAA within 30 calendar  days of learning of the condition (or a diagnosis). (T-3)","3.18.3.1. Should EFMP conditions arise after PCS notification or other event notification,  the member must report them to the Special Needs Coordinator and MPF immediately. If  appropriate, the member must submit their request to AFPC/DPFXAA within 30 calendar  days of learning of the condition (or a diagnosis). (T-3)"
331,2,3.18.3.2,"3.18.3.2. If the circumstances of the situation change and the request is still pending, or a  reassignment has been approved but the member has not departed, the member must notify  his MPF immediately. (T-3) An approved EFMP reassignment is normally canceled if the  situation for which granted ceases to exist before the member’s departure. In this instance  the member must provide information and supporting documentation to show what actions  have been taken regarding the reassignment. (T-3) The MPF will provide this information  AFPC/DPFXAA (RegAF and USSF), ARPC/DPA (AFR), or NGB/A1 (ANG) who will  make the final decision and provide a response by message. (T-2)","3.18.3.2. If the circumstances of the situation change and the request is still pending, or a  reassignment has been approved but the member has not departed, the member must notify  his MPF immediately. (T-3) An approved EFMP reassignment is normally canceled if the  situation for which granted ceases to exist before the member’s departure. In this instance  the member must provide information and supporting documentation to show what actions  have been taken regarding the reassignment. (T-3) The MPF will provide this information  AFPC/DPFXAA (RegAF and USSF), ARPC/DPA (AFR), or NGB/A1 (ANG) who will  make the final decision and provide a response by message. (T-2)"
332,1,3.18.3.3,"3.18.3.3. A member must notify the MPF when the EFMP condition ceases to exist for  removal from the program. Once notified the MPF deletes the AAC, ALC, and deployment  availability code. (T-3)","3.18.3.3. A member must notify the MPF when the EFMP condition ceases to exist for  removal from the program. Once notified the MPF deletes the AAC, ALC, and deployment  availability code. (T-3)"
343,1,3.18.5.4,3.18.5.4. The member was denied family member travel by the gaining MTF based on  processing of the myVector Family Member Travel Screening (FMTS) application. A  FMTS application must be completed to the gaining location. AFPC/DPFXAA will assist  members with the reassignment options when a Dependent Travel not Approved is  received to the gaining location. (T-1) Deferment is not normally granted for this situation;,3.18.5.4. The member was denied family member travel by the gaining MTF based on  processing of the myVector Family Member Travel Screening (FMTS) application. A  FMTS application must be completed to the gaining location. AFPC/DPFXAA will assist  members with the reassignment options when a Dependent Travel not Approved is  received to the gaining location. (T-1) Deferment is not normally granted for this situation;
347,1,3.18.6.1,"3.18.6.1. The member was denied family member travel (members projected to PCS  Continental United States (CONUS) to CONUS or overseas to CONUS) by the gaining  MTF based on processing of the myVector FMTS application. A FMTS application must  be completed to the gaining location. AFPC/DPFXAA will assist members with the  reassignment options when a Dependent Travel not Approved is received to the gaining  location. (T-1) Deferment is not normally granted for this situation; however, cancellation  of assignment is provided or, if the member is in a mandatory move status, an alternate  assignment will be provided.","3.18.6.1. The member was denied family member travel (members projected to PCS  Continental United States (CONUS) to CONUS or overseas to CONUS) by the gaining  MTF based on processing of the myVector FMTS application. A FMTS application must  be completed to the gaining location. AFPC/DPFXAA will assist members with the  reassignment options when a Dependent Travel not Approved is received to the gaining  location. (T-1) Deferment is not normally granted for this situation; however, cancellation  of assignment is provided or, if the member is in a mandatory move status, an alternate  assignment will be provided."
348,2,3.18.6.2,"3.18.6.2. If serving overseas accompanied by command sponsored family members, a  member may request reassignment within the overseas theater if an unforeseen medical or  educational requirement arises after arrival at the overseas base. For an EFMP  reassignment within the same overseas theater, the member must agree to serve the full  prescribed tour length at the gaining location or a tour equal to the combined  unaccompanied tour lengths, whichever is greater, prior to being reassigned from the  theater. (T-0) Example: if serving on a 30/18-month overseas tour and approval is received  for assignment to a 36/24-month overseas tour, the member must serve the full prescribed  tour at the gaining location (36 months), or not less than a tour equal to the combined  unaccompanied tour lengths (18 plus 24, or 42 months) between the two locations before  reassignment from the theater, whichever is greater. The computation resulting in the  greatest combined overseas tour period being served is the required minimum. The variable is the amount of time the member has been assigned to the current location.","3.18.6.2. If serving overseas accompanied by command sponsored family members, a  member may request reassignment within the overseas theater if an unforeseen medical or  educational requirement arises after arrival at the overseas base. For an EFMP  reassignment within the same overseas theater, the member must agree to serve the full  prescribed tour length at the gaining location or a tour equal to the combined  unaccompanied tour lengths, whichever is greater, prior to being reassigned from the  theater. (T-0) Example: if serving on a 30/18-month overseas tour and approval is received  for assignment to a 36/24-month overseas tour, the member must serve the full prescribed  tour at the gaining location (36 months), or not less than a tour equal to the combined  unaccompanied tour lengths (18 plus 24, or 42 months) between the two locations before  reassignment from the theater, whichever is greater. The computation resulting in the  greatest combined overseas tour period being served is the required minimum. The variable is the amount of time the member has been assigned to the current location."
349,1,3.18.6.3,"3.18.6.3. If serving overseas accompanied by command sponsored family members, a  member may request reassignment to the CONUS before DEROS if an unforeseen medical  or educational requirement arises after arrival at the overseas base and reassignment under  paragraph 3.18.6.2 is impractical. If the reassignment request is based on inadequate  medical or educational resources, the request must include the applicable medical  documentation from the local Special Needs Coordinator at the MTF. (T-2)","3.18.6.3. If serving overseas accompanied by command sponsored family members, a  member may request reassignment to the CONUS before DEROS if an unforeseen medical  or educational requirement arises after arrival at the overseas base and reassignment under  paragraph 3.18.6.2 is impractical. If the reassignment request is based on inadequate  medical or educational resources, the request must include the applicable medical  documentation from the local Special Needs Coordinator at the MTF. (T-2)"
350,2,3.18.6.4,"3.18.6.4. If selected for a long tour regardless of volunteer status, and family member  travel is disapproved based on the unavailability of early intervention or related services  and/or special educational services, the member may seek to serve the unaccompanied long  tour or release from the assignment. To do this, the member must access the myVector  FMTS Dashboard to select a travel decision. AFPC/DPFXAA will assist members with the  reassignment options. (T-3) ARC members should consult with their assignment authority  in this situation. A copy of the AF Form 1466, Request for Family Member’s Medical and  Educational Clearance for Travel, Major Command Surgeon General (MAJCOM/SG)  determination, and other supporting documentation disapproving family member travel  must be included as attachments to the request for assignment cancellation. (T-3) However,  if a pinpointed assignment (a location with the required services) is identified by the  MAJCOM/SG, and a manning requirement exists at that location, a member selected as","3.18.6.4. If selected for a long tour regardless of volunteer status, and family member  travel is disapproved based on the unavailability of early intervention or related services  and/or special educational services, the member may seek to serve the unaccompanied long  tour or release from the assignment. To do this, the member must access the myVector  FMTS Dashboard to select a travel decision. AFPC/DPFXAA will assist members with the  reassignment options. (T-3) ARC members should consult with their assignment authority  in this situation. A copy of the AF Form 1466, Request for Family Member’s Medical and  Educational Clearance for Travel, Major Command Surgeon General (MAJCOM/SG)  determination, and other supporting documentation disapproving family member travel  must be included as attachments to the request for assignment cancellation. (T-3) However,  if a pinpointed assignment (a location with the required services) is identified by the  MAJCOM/SG, and a manning requirement exists at that location, a member selected as"
353,2,3.18.6.5,"3.18.6.5. If selected for an overseas long tour as a non-volunteer and family member travel  is disapproved based on the unavailability of general medical services (see paragraph 3.18.2), a member must access the myVector FMTS Dashboard to select a travel decision.  AFPC/DPFXAA will assist members with the reassignment options which may include the  member selecting the unaccompanied long tour or an unaccompanied short tour to  minimize family separation. ARC members should consult with their FSS authority in this  situation. If there are no current or projected short tour requirements available, the  unaccompanied long tour length must be served at the projected overseas location. (T-2)  After arrival overseas, the existing condition will not be considered in support of a  curtailment and early return to the CONUS unless the condition significantly worsens and  the member’s presence is considered essential as determined by the appropriate EFMP  official (e.g., medical, or educational personnel).","3.18.6.5. If selected for an overseas long tour as a non-volunteer and family member travel  is disapproved based on the unavailability of general medical services (see paragraph 3.18.2), a member must access the myVector FMTS Dashboard to select a travel decision.  AFPC/DPFXAA will assist members with the reassignment options which may include the  member selecting the unaccompanied long tour or an unaccompanied short tour to  minimize family separation. ARC members should consult with their FSS authority in this  situation. If there are no current or projected short tour requirements available, the  unaccompanied long tour length must be served at the projected overseas location. (T-2)  After arrival overseas, the existing condition will not be considered in support of a  curtailment and early return to the CONUS unless the condition significantly worsens and  the member’s presence is considered essential as determined by the appropriate EFMP  official (e.g., medical, or educational personnel)."
354,1,3.18.6.6,"3.18.6.6. If selected as a volunteer for an overseas long tour and family member travel is  disapproved for any reason, the member may seek to serve the unaccompanied long tour  or release from the assignment. The member must access the myVector FMTS Dashboard  to select a travel decision. AFPC/DPFXAA will assist members with the reassignment  options. (T-3) Although approval of the request is not automatic, every effort will be made,  and consideration given to approve such requests consistent with the needs of the DAF.  ARC members should consult with their assignment authority in this situation.","3.18.6.6. If selected as a volunteer for an overseas long tour and family member travel is  disapproved for any reason, the member may seek to serve the unaccompanied long tour  or release from the assignment. The member must access the myVector FMTS Dashboard  to select a travel decision. AFPC/DPFXAA will assist members with the reassignment  options. (T-3) Although approval of the request is not automatic, every effort will be made,  and consideration given to approve such requests consistent with the needs of the DAF.  ARC members should consult with their assignment authority in this situation."
357,1,3.18.6.9,"3.18.6.9. For members enroute PCS, they may discuss a potential EFMP issue with the  nearest MPF Chief, AFPC/DPFXXA (RegAF and USSF), ARPC/DPA (AFR), or NGB/A1  (ANG) personnel to assist in deciding whether to submit a request. There is no  reimbursement authorized if the member decides to travel to the nearest base with an MPF  and a member's status remains unchanged (example: leave) if they decide to submit a  request. The member must comply with current reporting instructions if the Assignment  authority denies suspension of movement; however, a request still can be submitted. (T-2)","3.18.6.9. For members enroute PCS, they may discuss a potential EFMP issue with the  nearest MPF Chief, AFPC/DPFXXA (RegAF and USSF), ARPC/DPA (AFR), or NGB/A1  (ANG) personnel to assist in deciding whether to submit a request. There is no  reimbursement authorized if the member decides to travel to the nearest base with an MPF  and a member's status remains unchanged (example: leave) if they decide to submit a  request. The member must comply with current reporting instructions if the Assignment  authority denies suspension of movement; however, a request still can be submitted. (T-2)"
359,1,3.18.7.1,"3.18.7.1. If the member caused or contributed to the commission of a FMTS violation,  either by falsifying or omitting information which led to the approval of family member  travel. Unless the member’s presence is essential, the family member should be returned  to the CONUS and the member must complete the overseas tour length prescribed based  on their status. (T-3)","3.18.7.1. If the member caused or contributed to the commission of a FMTS violation,  either by falsifying or omitting information which led to the approval of family member  travel. Unless the member’s presence is essential, the family member should be returned  to the CONUS and the member must complete the overseas tour length prescribed based  on their status. (T-3)"
365,1,3.18.7.6,"3.18.7.6. Reassignment based on the availability of a free or lower cost program in an area  other than where currently assigned when the current duty location can provide adequate  services on base or through the local community. Exception: When required services are  being received off base and are causing a significant financial hardship, a member can  apply for reassignment as an exception to policy. Documentation provided with such a  request must clearly document the hardship. (T-3) This provision does not apply to a  dependent parent/parent-in-law since they are not eligible for coverage under TRICARE®.","3.18.7.6. Reassignment based on the availability of a free or lower cost program in an area  other than where currently assigned when the current duty location can provide adequate  services on base or through the local community. Exception: When required services are  being received off base and are causing a significant financial hardship, a member can  apply for reassignment as an exception to policy. Documentation provided with such a  request must clearly document the hardship. (T-3) This provision does not apply to a  dependent parent/parent-in-law since they are not eligible for coverage under TRICARE®."
379,1,3.18.8.2,"3.18.8.2. Recommendation by commander to include additional information or evidence  of material value. If the commander recommends disapproval, complete justification must  be provided. If the request is based on a spouse’s inability to manage the household in the  member’s absence due to unique family situations (as defined in DoDI 1342.19_AFI 36-","3.18.8.2. Recommendation by commander to include additional information or evidence  of material value. If the commander recommends disapproval, complete justification must  be provided. If the request is based on a spouse’s inability to manage the household in the  member’s absence due to unique family situations (as defined in DoDI 1342.19_AFI 36-"
380,1,2908,"2908), the commander’s endorsement must include information about the existence (or  lack thereof) of the documented family care plan required by DoDI 1342.19_AFI 36-2908.  (T-3)","2908), the commander’s endorsement must include information about the existence (or  lack thereof) of the documented family care plan required by DoDI 1342.19_AFI 36-2908.  (T-3)"
381,1,3.18.8.3,"3.18.8.3. Members who are serving an accompanied overseas assignment that requests  reassignment based on medical, educational, related services or early intervention services  or early intervention services required for family members must provide applicable medical  documentation from the Special Needs Coordinator at the local MTF. (T-3)","3.18.8.3. Members who are serving an accompanied overseas assignment that requests  reassignment based on medical, educational, related services or early intervention services  or early intervention services required for family members must provide applicable medical  documentation from the Special Needs Coordinator at the local MTF. (T-3)"
382,1,3.18.8.4,"3.18.8.4. Both members of a military couple must submit a request if the same assignment  consideration is desired. When both apply, respective commander endorsements are  required. (T-3)","3.18.8.4. Both members of a military couple must submit a request if the same assignment  consideration is desired. When both apply, respective commander endorsements are  required. (T-3)"
383,2,3.18.8.5,3.18.8.5. The local Special Needs Coordinator must review and provide input on all EFMP  requests. Input must address the availability of required resources within the current  assignment locale. (T-3),3.18.8.5. The local Special Needs Coordinator must review and provide input on all EFMP  requests. Input must address the availability of required resources within the current  assignment locale. (T-3)
385,1,3.18.9,"3.18.9. Available Options When a Request is Disapproved. When a request is disapproved,  the MPF must counsel the member on the following options: members may apply (if eligible)  for retirement, retirement under hardship conditions, hardship discharge, or (for officers)  resignation or release from active duty. For those who are pending reassignment, an EFMP","3.18.9. Available Options When a Request is Disapproved. When a request is disapproved,  the MPF must counsel the member on the following options: members may apply (if eligible)  for retirement, retirement under hardship conditions, hardship discharge, or (for officers)  resignation or release from active duty. For those who are pending reassignment, an EFMP"
387,1,3.18.9,"3.18.9. Available Options When a Request is Disapproved. When a request is disapproved,  the MPF must counsel the member on the following options: members may apply (if eligible)  for retirement, retirement under hardship conditions, hardship discharge, or (for officers)  resignation or release from active duty. For those who are pending reassignment, an EFMP",request must be submitted within 7 calendar days following receipt of the correspondence  disapproving the deferment or reassignment request. (T-3)
